,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,candelabro,"lâmpada, luzeiro",,"Um candelabro é uma lâmpada, feita de metal, que suporta uma ou mais chamas de fogo e mantém seu combustível.",,GC: ,Distinguished from clay lamps and from fire pots.,,,,,,,,,,,,,,,,,,,,,,,,
t,terra,"terra, país",terra (G);,"Terra pode significar (1) o solo sobre o qual caminhamos, (2) o solo no qual plantamos sementes, (3) o país em que habitamos ou (4) a terra (a parte de nossa planeta) que não é coberto pela água do mar.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Lei (de Moisés),Lei,as palavras de Moisés de muito tempo atrás(G); instruções de Deus através de Moisés; Caminho de Moisés (W);,"A Lei contém as regras e instruções que Deus revelou a Moisés para os israelitas. A lei (1) diz ações que agradam a Deus e (2) mostra a nós, humanos, como somos pecadores. A Lei continua boa, mas somente a fé em Deus pode nos salvar do inferno. (Os cristãos vivem obedecendo aos mandamentos de Jesus, não obedecendo à Lei. O principal dos mandamentos de Jesus é crer Nele.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,líder,líderes,aquele que te guia (G); o cabeça (U);,"Um líder é alguém que aponta o caminho que os outros devem seguir. Líderes muito poderosos eram chamados de reis ou imperadores. Os menos poderosos eram chamados de chefes, governadores ou anciãos. Os menos poderosos eram chefes de família e chefes de trabalho.","rei, governador, ancião",other language: head man (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,lepra,"leproso, leprosos",lepra (R),"A lepra é uma doença de pele grave. As pessoas que tinham a doença da lepra eram chamadas de leprosos. Aqueles que sofriam desta doença nos tempos bíblicos eram obrigados a viver separados de outras pessoas. (Embora pessoas saudáveis nunca tocassem em um leproso, Jesus tocava leprosos quando os curava.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Levi,"Levitas, Levita",do clã de Lewi (R); do clã de Liwai (K),"Levi foi um dos doze filhos de Jacó, o ancestral da tribo israelita chamada Levi. Em Israel, apenas os levitas podiam servir como sacerdotes e trabalhadores no templo de Jerusalém. Arão era um levita. Mateus, que escreveu o Evangelho, também se chamava Levi. (O sumo sacerdote dos cristãos é Jesus, que veio da tribo de Judá.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Leão,leões,laion (K); grande gato / jaguar (G); simba (W);,"Os leões são gatos muito grandes, fortes e corajosos que matam e comem outros animais grandes... (Eles têm dentes afiados e garras longas que se retraem.) (Os leões são perigosos e podem matar pessoas.) (Os reis eram frequentemente comparados aos leões.) (Jesus é chamado de Leão da Tribo de Judá.)",,jaguar and simba not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
t,gado,rebanho,,"Gado é o conjunto de animais domesticados (não selvagens) como cabras, vacas, camelos, burros, ovelhas, etc.) que as pessoas mantêm juntas e cuidam perto de suas casas para se sustentarem","rebanho, pastor",,,,,,,,,,,,,,,,,,,,,,,,,,
t,gafanhotos,gafanhoto,,Gafanhotos são insetos voadores que podem vir em enxames e destruir colheitas e outras plantas. Algumas pessoas comem gafanhotos como alimento.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,Senhor,,Deus Altíssimo; Grande/ótima pessoa; o dono/patrão de todas as pessoas (G); homem rico e importante (R); grande (K); Proprietário (W);,Senhor significa (1) O Único Deus Criador; (2) proprietário de terras ou de escravos; (3) marido; (4) um espírito que governa outros espíritos; e (5) um título de respeito como o de senhor,Deus,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
t,Senhor,,Deus Altíssimo; Grande/ótima pessoa; o dono/patrão de todas as pessoas (G); homem rico e importante (R); grande (K); Proprietário (W);,Senhor significa (1) O Único Deus Criador; (2) proprietário de terras ou de escravos; (3) marido; (4) um espírito que governa outros espíritos; e (5) um título de respeito como o de senhor,Deus,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Ló,,,"Ló era sobrinho de Abraão (filho do irmão). Ló morava perto de Abraão. Mas quando os dois homens tinham grandes rebanhos de gado, eles se separaram. Abraão escolheu morar em tendas, enquanto Ló foi morar na cidade maligna de Sodoma. (Ló se tornou o ancestral dos moabitas e dos amonitas, inimigos dos israelitas.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ló,,,"Ló era sobrinho de Abraão (filho do irmão). Ló morava perto de Abraão. Mas quando os dois homens tinham grandes rebanhos de gado, eles se separaram. Abraão escolheu morar em tendas, enquanto Ló foi morar na cidade maligna de Sodoma. (Ló se tornou o ancestral dos moabitas e dos amonitas, inimigos dos israelitas.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,amor,"amando, ama, amado",querer (W);,"Amor significa que procuramos tratar os outros da maneira que queremos que eles nos tratem. Deus nos amou enviando Jesus para nos salvar, e nós amamos uns aos outros atendendo às necessidades reais, enquanto tentamos não ofender aos outros. A Bíblia diz que o melhor tipo de amor é morrer alegremente para si mesmo (ou negar a si mesmo) para ajudar um amigo.","gentil, misericordioso, graça",,other lg example weard: want (W)???. E.g. better to say like a lot.,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,
t,mago,,observadores do céu (W); homens das estrelas; conhecedores de estrelas (G); homens que estudaram as estrelas; senhores do conhecimento (W);,Homens sábios no Oriente que estudaram o céu e as estrelas para discernir sinais ou mensagens de Deus,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Manassés,,,Manassés era o mais velho dos dois filhos de José. Manassés tornou-se ancestral de uma tribo de Israel. (O nome Manassés significa Esquecer.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,maná,,"maanaa (R);
comida que cai do céu (G); 
","O maná foi o alimento que Deus deu aos israelitas durante seus 40 anos de peregrinação entre o Egito e Canaã. Na língua hebraica, maná significa ""o que é isso?"". Era algo como pão doce sem fermento. Todas as manhãs, exceto no sábado, os israelitas colhiam o maná do solo ao redor do acampamento. (O maná tem um sabor agradável, mas estraga-se rapidamente.)",pão,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Marcos,,,"Marcos era um nome romano comum. Um jovem judeu chamado João Marcos, que havia conhecido Jesus, escreveu o Evangelho de Marcos e ajudou Lucas a escrever o Evangelho de Lucas.",,"This is not essential:  failed as a Christian missionary -  rather he quarreled with Paul, but is that necessary to mention here? (Hilkka)",GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Maria,,,"O nome Mary pode significar Desejada ou Amarga. No Novo Testamento da Bíblia, várias mulheres são chamadas de Maria, incluindo a mãe de Jesus e uma discípula de Magdala. A irmã de Lázaro e Marta também se chamava Maria, de Betânia.",,," Several different women named Mary are mentioned in the New Testament: (1) Mary the mother of Jesus. (2) Mary of Magdala. Jesus drove seven evil spirits from her, and she became one of his followers (Matthew 27:55–56; Mark 16:9; Luke 8:2; John 20:1–2; 11–18, and other passages). (3) Mary of Bethany, the sister of Martha and Lazarus. She sat at the feet of Jesus and listened to his teaching (Luke 10:38–42; John 11:1–5; 12:1–7). (4) Mary the mother of James and Joseph. This Mary may be the same person as Mary the wife of Cleopas, but this is not certain (Matthew 27:56; Mark 15:40; 16:1; Luke 24:10). (5)Mary the mother of John Mark. This Mary had a house in Jerusalem where the disciples of Jesus used to meet (Acts 12:12).",,,,,,,,,,,,,,,,,,,,,,,,
n,Mateus,,,"Mateus, também conhecido como Levi, era um homem culto, cobrador de impostos quando Jesus o chamou para ser seu discípulo. Mateus escreveu um evangelho sobre a vida de Jesus.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Média,,,"Os medos são uma tribo iraniana. No século 7 aC, eles fundaram um reino chamado Mídia que se aliou aos persas para atacar a Babilônia. O rei Dario era um Medo.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Melquisedeque,,,"Melquisedeque significa Meu Rei é Justo. Ele era rei de Salem e um sacerdote que servia ao Deus Altíssimo. Certa vez, ele abençoou Abraão, que então o pagou com um presente (um décimo ou dízimo). Porque Melquisedeque veio de uma família sacerdotal, ele era sacerdote como Jesus, que não veio da tribo sacerdotal de Levi (ainda assim, ambos se tornaram sacerdotes legítimos em virtude de sua obediência ao Deus Altíssimo).",,,"""Without geneology."" Geneology was a requirement for Levitical priests. Netither Melchizedek nor Jesus had preiestly credentials, yet both became legitimate priests by virtue of their obedience to the Most High God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Mefibosete,,,"Mefibosete era filho de Jônatas. Seus pés foram quebrados quando ele era criança. Depois que Davi se tornou rei, ele mostrou muita bondade para com Mefibosete.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,misericórdia,misericordioso,amor/compaixão (R),Misericórdia é a compaixão mostrada aos ofensores ou inimigos. Deus mostra misericórdia quando provê para suas criaturas. Jesus mostrou misericórdia quando curou os enfermos e ressuscitou os mortos.,"amor, graça, gentileza, bondade",Mercy is compassion shown to enemies or offenders. (I don't think it needs to meet material needs/HiA). (Hilkka),"GC: Do you want to contrast with grace?
RR: users can look up grace and get the contrast.",,,,,,,,,,,,,,,,,,,,,,,,
t,Messias,Cristo,"O Rei (a quem) Deus prometeu enviar;
Nosso Chefe Verdadeiramente Importante (G); o homem designado (U);
Al-Masih (W); Kaarisito (R); Mesaia (K);
","A palavra hebraica Messias e a palavra grega Cristo traduzem Ungido. Na parte da Bíblia do AT, eles chamavam os reis de “ungidos”, depois que um profeta derramou óleo sobre suas cabeças. Na parte do NT da Bíblia, Jesus é chamado de Cristo, o Messias e o Ungido de Deus.","Rei, Filho de Deus",other language: the appointed man (urt).; These are not helful in PNG: Al-Masih (W); Kaarisito (R,,,,,,,,,,,,,,,,,,,,,,,,,
n,Mical,,,"Mical era filha do rei Saul. Ela amava Davi, que se casou com ela enquanto ainda servia ao rei Saul. Anos depois, ela repreendeu Davi depois que ele dançou nas ruas de Jerusalém. Ela não teve filhos.",,,GC 25-Apr-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Midiã,Midianitas,,"Midiã era o quarto filho da segunda esposa de Abraão, Quetura. A Terra de Midiã ficava no noroeste da Arábia, para onde Moisés fugiu do Egito. As pessoas da Terra de Midiã eram chamadas de midianitas. Eles invadiam e roubavam Israel durante o tempo dos juízes. Deus fortaleceu Gideão para derrotar os midianitas invasores.",,,"GC 08-Feb-19

Gideon did not go conquer Midia.","


",,,,,,,,,,,,,,,,,,,,,,,
t,milagre,"milagres, maravilhas","algo surpreende as pessoas (G); 
","Um milagre é qualquer coisa que só Deus pode fazer. Jesus fez milagres para mostrar que era Deus, e seus apóstolos podiam fazer milagres para mostrar que eram mensageiros de Deus. Os milagres também são chamados de sinais e maravilhas. Milagres não são mágicas, truques ou enganos.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Miriã,,,Miriã era irmã de Moisés e de Arão. Ela era uma profetisa que ensinava canções aos israelitas.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Moabe,"Moabita, moabitas",,"Moabe era filho de Ló, sobrinho de Abraão. Os descendentes de Moabe eram os moabitas, que habitavam em Moabe, a sudeste de Israel, do outro lado do rio Jordão. Os moabitas adoravam o deus Moloque sacrificando seus filhos. Rute era uma moabita que se tornou ancestral do rei Davi e de Jesus.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Moloque,,,"Moloque é um espírito maligno e um deus ou ídolo adorado por alguns povos pagãos. Em alguns países, os adoradores sacrificavam seus próprios filhos aos ídolos de Moloque. Alguns israelitas em Jerusalém deixaram o Senhor muito irado quando sacrificaram seus filhos. (O nome Moloque significa Rei da morte.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mordecai,,,"Mordecai era um exilado judeu que trabalhava no palácio do rei persa Xerxes. Ele criou sua prima órfã Ester, que se tornou a rainha de Xerxes. Xerxes recompensou Mordecai por seu serviço fiel.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Moisés,,Musa (W do Ar),"Moisés viveu por volta de 1450 anos antes de Jesus. Ele nasceu em uma família de escravos hebreus no Egito, mas foi adotado por uma princesa egípcia. Moisés deixou o Egito aos 40 anos, mas Deus o enviou de volta ao Egito aos 80 anos, para liderar os hebreus a Canaã. Deus revelou sua Lei a Moisés (que escreveu os primeiros livros do Antigo Testamento).",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,mostarda,,mastad (K),"Mostarda é uma espécie de planta de especiarias que tem sementes minúsculas que se transformam em uma planta grande. Jesus disse: ""Se você tiver fé como um grão de mostarda, você pode mover montanhas.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mirra,,substância pegajosa do perfume chamada mira (R); seiva cheirosa de uma árvore chamada mira (K); seiva que cheira (W);,A mirra é uma seiva ou resina de alto valor e de cheiro doce vinda de uma certa árvore. Os judeus usavam mirra como remédio porque causa sonolência em uma pessoa para que ela não sinta muita dor (efeito anestésico). Eles também aplicavam mirra em cadáveres para sepultamento.,incenso,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naamã,,,"Naamã viveu cerca de 800 anos antes de Jesus no país da Síria, onde era comandante de soldados. Ele era pagão (gentio), não judeu, e sofria de uma doença de pele. O profeta Eliseu disse-lhe para ir banhar-se no rio Jordão. Naamã obedeceu e foi curado, tornando-se crente no Deus de Israel. (Jesus disse aos judeus que Deus aceitou Namaan que não obedeceu à Lei de Moisés.) (O nome Naamã significa Agradável.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Noemi,,,"Noemi era uma mulher de Israel que migrou com seu marido para Moabe, retornando a Israel após a morte de seu marido e filhos.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,nardo,,perfume chamado naad (R); líquido de cheiro bom chamado nad (K);,"Nardo é um perfume oleoso feito da seiva de uma planta chamada nardo (ou espicanardo). Certa vez, uma mulher comprou nardo e ungiu os pés de Jesus com ele.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n ,Natã,,,Haviam vários homens chamados Natã. Muitas vezes o profeta Natã trazia mensagens do SENHOR ao rei Davi. Davi chamou um filho de Natã. (O nome Natã significa que ele dá.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Natanael,,,Vários homens se chamavam Natanael. Um Natanael foi um dos primeiros discípulos de Jesus. (O nome Natanael significa que Deus dá.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,nação,nações,"pessoas (G); reino (W);
",Uma nação é formada por muitas pessoas que concordam em ser governadas juntas. Reinos são nações governadas por um rei. Impérios são várias nações governadas por um governante supremo.,"país, império, reino",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Nazaré,,,Nazaré era uma vila na província da Galiléia ao norte de Judá. José trouxe Maria e Jesus para morar em Nazaré depois que eles voltaram do Egito.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nabucodonosor,,,"Nabucodonosor foi um rei pagão da Babilônia de 605 a.C. a 562 a.C. Ele deportou israelitas para o exílio na Babilônia e, mais tarde, acreditou no Deus de Israel. (O nome Nabucodonosor significa Que Nabu preserve meu filho.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Neemias,,,Neemias era um alto oficial judeu no Império Persa. O rei Artaxerxes enviou Neemias a Judá por volta de 445 aC para reconstruir Jerusalém. (O nome Neemias significa o Senhor conforta.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Rio Nilo,Nilo,,"O rio Nilo flui para o norte através de toda a terra do Egito, fornecendo a maior parte da água do país. Os egípcios consideravam o Nilo uma fonte sagrada de vida. Deus deu a Moisés o poder de transformar a água do Nilo em sangue. (A nascente do rio Nilo está localizada no Lago Vitória, em Uganda.)",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nínive,Ninivitas,,"Nínive era uma grande cidade pagã na terra da Assíria. (Soldados assírios costumavam torturar seus cativos até a morte.) Cerca de 800 anos antes de Cristo, Deus enviou o profeta Jonas para avisar os ninivitas que ele iria destruí-los. ouviram a mensagem de Jonas, choraram e se arrependeram. Por causa disso, Deus os perdoou e não os destruiu naquele momento. (Quando eles se arrependeram, Jonas se sentiu mal, porque queria que o Senhor destruísse Nínive.)
O pequeno livro de Naum fala sobre quando Deus mais tarde destruiu Nínive.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Noé,,,"Noé viveu cerca de 2000 anos antes de Jesus. Seu nome significa descanso ou conforto. Naqueles dias, os humanos faziam tanto mal, que Deus ordenou a Noé que construísse um barco muito grande. 120 anos depois, Deus conduziu pares de animais e a família de Noé naquele barco. Deus então causou inundações para cobrir a terra, matando todos os humanos e animais, exceto aqueles que foram salvos pelas águas da enchente no barco. (Assim, todos os vivos hoje são descendentes de Noé e de seus filhos.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,juramento,"juramentos, voto, votos","promessa (R);
declarar verdadeiramente o que se vai fazer (G);
conversa de ligação (U);",Um juramento ou voto é uma promessa solene feita diante de Deus e testemunhas.,"aliança, promessa, maldição",other lg: bind talk (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Obede-Edom,,,"Certa vez, o rei Davi guardou a Caixa da Aliança na casa de Obede-Edom, e o Senhor fez Obede-Edom prosperar. Depois que Davi trouxe a Caixa da Aliança para Jerusalém, ele fez de Obede-Edom um porteiro lá. (O nome Obede-Edom significa Servo de Edom.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,oliva,"olivas, óleo de oliva",árvore da oliva (R),"A oliveira é uma espécie de árvore frutífera. Os humanos comem a azeitona. Eles também o pressionam para fazer óleo de cozinha e remédios. O azeite vem do esmagamento da fruta da oliveira. O azeite de oliva era usado para fazer comida e era aplicado em feridas como remédio. Os profetas ungiam sacerdotes e novos reis derramando azeite sobre suas cabeças. Monte das Oliveiras também é o nome de uma colina perto de Jerusalém, onde Jesus costumava ficar. Tinha um jardim/pomar de oliveiras.",,,"The Mt of Olives is also called Har-Mokhed, which transliterates into Greek as Armageddon, and has nothing to do with the Mageddo Plains.",,,,,,,,,,,,,,,,,,,,,,,,
t,Ômega,,Omegaa (R); finalizador; ,"Omega é o nome da última letra do alfabeto grego. Omega significa Grande O. O Livro do Apocalipse chama Jesus de Alfa e Ômega, o Princípio e o Fim (isto é, o Criador e o Redentor).",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Orfa,,,Orfa era uma mulher de Moabe. Ela era uma viúva casada com um dos dois filhos de Noemi.,Rute,,,,,,,,,,,,,,,,,,,,,,,,,,
t,palácio,palácios,"a grande casa de um verdadeiro chefe(G); 
",A casa muito grande de um rei,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Paraíso,,local de encontro de Deus (W); Paradais (k); lugar de vida de Deus (G);,"Paraíso é uma palavra grega que significa ""belo jardim"". (Os pagãos usavam esse nome para a morada de seus deuses.) No Novo Testamento, Paraíso refere-se a (1) o lugar no céu para onde vão os crentes que partiram (mortos), e (2) o futuro ""novos céus e nova terra"" onde os crentes irão habitar para sempre.",Éden,"refers to Allah/islam, Aajana not helpful in PNG (Hilkka)","Paradise is not used in the Bible to refer to Eden, does it?",,,,,,,,,,,,,,,,,,,,,,,,
n,Paulo,,,"Saulo era um judeu que feriu violentamente os cristãos. Depois que Jesus apareceu a Saulo, ele se tornou um apóstolo chamando a si mesmo de Paulo. Paulo sofreu muito enquanto servia a Jesus, contando as Boas Novas e iniciando muitas novas igrejas. Paulo escreveu dez cartas que agora fazem parte do Novo Testamento da Bíblia Sagrada. (O nome Paulo significa Pequeno.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pérola,,"pedra valiosa dentro de uma concha (R), ovo de casca de kina (R); (valiosa) pedra dentro de uma concha (K); uma pedra muito boa chamada per (G);","Pérola é um tipo caro de joia que vem do mar. (São feitos por amêijoas que, quando um pedaço de areia que pode causar irritação entra em sua concha, eles secretam uma substância branca leitosa para cobrir a areia muitas vezes para impedir esse efeito de irritação.) As pérolas, por serem redondas e brilhantes, são usadas para fazer colares e joias.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Pérsia,Persas,,"Os persas são uma tribo iraniana. No século 7 a.C, eles se aliaram aos medos e conquistaram a Babilônia. O Império Persa governou grande parte do mundo por centenas de anos.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Pedro,Cefas,,"Simão era um pescador que também se chamava Cefas. Quando Jesus chamou Simão para se tornar um discípulo, Jesus mudou o nome de Simão para Pedro. Pedro foi um dos doze apóstolos de Jesus. Jesus escolheu Pedro para ser o primeiro a anunciar as Boas Novas aos judeus depois que Jesus morreu e ressuscitou, e para ser o primeiro a anunciar as Boas Novas aos não-judeus ou gentios. Pedro escreveu duas cartas do Novo Testamento da Bíblia. (O nome Pedro significa Rocha.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Faraó,faraós,Pero (no Egito) (K); rei sobre o Egito; o cabeça do Egito (U),Faraó é o nome que os antigos egípcios davam aos seus reis. Cada faraó também tinha um nome pessoal. Faraós ricos construíram enormes túmulos para si mesmos.,rei,head man of Egypt (urt),,,,,,,,,,,,,,,,,,,,,,,,,
n,Fariseus,Fariseu,"Líder religioso judeu;
Farasi;
","Os fariseus eram líderes religiosos e mestres judeus que procuravam obedecer à Lei de Moisés guardando muitas regras. Eles desprezavam outros judeus que não fossem tão rígidos quanto ao cumprimento dessas regras. Jesus os chamou de hipócritas, porque muitas vezes pecavam, mas não admitiam. (Muitos fariseus se opuseram a Jesus e seus apóstolos, às vezes prendendo ou matando cristãos.)","Saduceu, Líder Religioso Judeu",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Filipe,,,"Haviam vários homens chamados Filipe. Um deles era um líder político. Outro foi um dos primeiros discípulos de Jesus, que também se tornou um dos doze apóstolos de Jesus. Filipe levou muitos samaritanos a Jesus, bem como um oficial etíope.",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Filisteu,"Filisteus, Filístia",,"Os filisteus eram tribos pagãs que habitavam no sul de Israel. Às vezes, eles lutavam contra os israelitas. Sansão amava uma mulher filisteia chamada Dalila.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,porco,"porcos, suínos",,"Os porcos, também chamados de suínos, são animais baixos e robustos que comem quase tudo e gostam de rolar na lama para manter a pele úmida. A lei de Deus proibia Israel de comer carne de porco.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Pilatos,,,"Pilatos era o governador romano encarregado da Judéia nos dias em que Jesus estava ensinando. Quando os líderes judeus prenderam Jesus, Pilatos concordou em crucificá-lo, mesmo sabendo que Jesus era inocente e isso estava errado.",,,At least two inscriptions have been uncovered that contain Pilat's name.,,,,,,,,,,,,,,,,,,,,,,,,
t,praga,pragas,,Pragas são qualquer doença ou infestação que tem um efeito destrutivo em muitas pessoas ao mesmo tempo.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,tanque,,água (G); ,Um tanque era um buraco feito pelo homem cheio de água para banho.,,not helpful in PNG: ; pisin (W from Fr),,,,,,,,,,,,,,,,,,,,,,,,,
t,pórtico,,lugar perto da porta(G); ,"uma plataforma fora de uma casa, mas perto da porta.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Potifar,,,Potifar era o nome de um oficial no Egito. Ele comprou José como escravo e depois o colocou na prisão. (O nome Potifar pode significar Touro Africano.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,louvar,"louva, louvando, louvado, elogiar","falar bem de (G); 
magnificar (W);","Louvor é quando contamos aos outros como alguém fez boas ações. Louvamos a Deus contando como ele respondeu às nossas orações. Os cristãos costumam louvar a Deus com canções e músicas, contando como ele é grande.","agradecer, honrar",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,orar,"oração, ora, orando, orou","falar com Deus (G); 
pleitear (W);","Orar significa falar ou fazer pedidos a um humano poderoso ou a um deus. Jesus ordenou aos cristãos que orassem frequentemente a Deus, usando o seu nome.","louvar, adorar",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pregar,"pregador, pregando, pregado",contar a bela palavra de Deus (G);,Pregar é falar uma mensagem ou contar uma história para os outros que eles nunca ouviram antes.,"ensinar, profeta",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,sacerdote,sacerdotes,"dando a Deus um (R); sacerdote (transliterado) (G);
sacrificador (W);","Sacerdotes são líderes religiosos que (1) oferecem sacrifícios, (2) ensinam a Lei, (3) mediam disputas, (4) verificam curas e (5) administram o templo e suas riquezas.",Levita,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Priscila,,,"Priscila, também chamada Prisca, era esposa de Áquila. Eram judeus de Roma que ajudaram Paulo a plantar igrejas na Grécia e na Síria. (O nome Prisca significa ""venerável"" em latim.)",Áquila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,promessa,"promessas, prometeu","colocar uma coisa por palavras / boca;
contar o que vai fazer no futuro (G); promessa (R);","Uma promessa é uma boa ação que alguém diz que fará mais tarde. Deus sempre fará o que prometeu fazer. Algumas das promessas de Deus são condicionais, ou seja, exigem que os humanos façam algo primeiro. ""Se (condição) você confessar que Jesus é o Senhor, então (promessa) você será salvo.""","aliança, juramento",,,,,,,,,,,,,,,,,,,,,,,,,,
t,profecia,profecias,fala de um profeta (R); falado pela palavra de Deus (W);,"Profecias são mensagens que Deus revelou a alguém para contar a outros. Algumas profecias advertem os pecadores a se arrependerem, outras fornecem orientação ou ensino e outras predizem eventos futuros. (A Bíblia contém centenas de profecias.)","anjo, pregador, professor, apóstolo, profecia",Allah (not good in PNG),,,,,,,,,,,,,,,,,,,,,,,,,
t,profetizar,"profetizando, profetizou, profetiza",fala de um profeta (R); falado pela palavra de Deus (W);,"Profetizar é falar com a ajuda de Deus, fortalecer os outros, confortá-los, ajudá-los a crescer. (Já que aqueles que profetizam podem cometer erros, outros devem discernir a verdade do erro.)","profeta, profetizar","I would remove this: All believers can prophesy (through songs, citing Scripture, teaching, testimonies, teaching and drama.) Allah not  good in PNG. (Hilkka)","1 Corinthians 14:3, 24-26",,,,,,,,,,,,,,,,,,,,,,,,
t,profeta,"profetas, profetiza","aquele que conta a palavra de Deus (G);
pessoa a quem Deus dá palavras (D);
boca de Deus (porta-voz);
um mensageiro humano para Deus ou deuses/ídolos;
viajante (W); poropet (K)","Profetas são homens ou mulheres a quem Deus deu tantos dons que falam mensagens de Deus. Alguns profetas hebreus escreveram os livros do Antigo Testamento. Os profetas cristãos transmitem mensagens que ajudam os outros quando precisam. (Os profetas cristãos podem cometer erros, portanto devem permanecer dispostos a aprender.)","anjo, pregador, professor, apóstolo, profecia, protizar",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Salmos,"salmo, canção, poema",Canções de Dewid (R); canção (G); ,"Salmos são poemas ou canções escritas em hebraico. Freqüentemente, uma linha de um salmo é repetida em outra linha usando palavras diferentes. Os salmos podem expressar louvor, oração, lamento, maldições, ensinamentos e previsões. (Judeus e cristãos costumam cantar salmos em sua adoração.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
