,term,Alternate forms and synonyms. (separate w commas),Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
t,న్యాయం,"న్యాయం, న్యాయంగా, న్యాయంగా, సమర్థించుకోండి", (దేవుని) సన్నిధిలో ఒకరు మంచివాడిగా పరిగణించబడతారు (G); ఎవరినైనా సరిదిద్దండి (W); వారిని సరిదిద్దండి (R); అతని దృష్టిలో వారిని సరిదిద్దండి (R); ప్రజల పనులను సరిగ్గా చెప్పండి (G);,"న్యాయం అంటే చట్టాలను లేదా ప్రమాణాలను పాటించడం. న్యాయవంతుడైన వ్యక్తి చట్టాలను పాటిస్తాడు. న్యాయవంతుడైన న్యాయమూర్తి చట్టం చెప్పే దాని ప్రకారం కేసులను నిర్ణయిస్తాడు. దేవుడు తన స్వంత చట్టాలు చెప్పే దాని ప్రకారం ఇతరులకు ప్రతిఫలమిచ్చినప్పుడు లేదా శిక్షించినప్పుడు అతను న్యాయవంతుడు. అబ్రహం చేసినట్లుగా, తన వాగ్దానాలను నమ్మే వారిని దేవుడు నీతిమంతులుగా లేదా సమర్థించుకున్నవారిగా అంగీకరిస్తాడు. మన మంచి పనులు మనకు విశ్వాసం ఉందని చూపించినప్పటికీ, మన విశ్వాసమే మనలను సమర్థిస్తుంది లేదా రక్షిస్తుంది. (వారి రక్షణను సంపాదించడానికి ప్రయత్నించే వారిని దేవుడు సమర్థించడు.)","నీతిమంతుడు, మంచివాడు, చెడువాడు",,,
n,కేతురా,,,"అబ్రాహాము భార్య శారా చనిపోయిన తర్వాత, అతను కెతూరా అనే స్త్రీని వివాహం చేసుకున్నాడు, ఆమెకు అనేక మంది పిల్లలు పుట్టారు. (కెతూరా అనే పేరుకు ధూపం లేదా తీపి వాసన అని అర్థం కావచ్చు.)",,,GC 19-Feb-2019,
t,దయ,దయ, ప్రజలకు మంచి చేయడం (జి);,దయ అంటే ఇతరులకు సౌమ్యంగా మంచి చేయడం.,దయ,"take out: showing pity to people (because it is mercy, not kindness) (hilkka)",GC 15-Feb-2019,
t,రాజు,"రాజులు, రాజు", పాలకుడు/అధికార వ్యక్తి; అధిపతి (G); రాజు (R);,"ఒక రాజు చనిపోయే వరకు ఒక రాజ్యం లేదా దేశంపై అత్యున్నత పాలకుడిగా ఉంటాడు. కొన్ని దేశాలు తమ రాజును దేవుడిగా పూజించాయి. (కొన్ని దేశాలు, రాజ్యాలు లేదా సామ్రాజ్యాలు తమ రాజులను వేర్వేరు బిరుదులు లేదా పేర్లతో పిలిచాయి, ఉదా., రోమ్ తన రాజును సీజర్ అని; ఈజిప్ట్ తన రాజును ఫరో అని; ఫిలిష్తీయులు తమ రాజును అబీమెలెకు అని పిలిచారు).","సీజరు, ఫరో, అబీమెలెకు",,,
t,రాజ్యం,"రాజ్యాలు, సామ్రాజ్యం, సామ్రాజ్యాలు",,ఒక రాజు భూమిని మరియు ప్రజలను పరిపాలించే చోట రాజ్యం ఉంటుంది. ఒక రాజు అనేక దేశాలను మరియు ప్రజలను పరిపాలించే చోట సామ్రాజ్యం ఉంటుంది. కొన్నిసార్లు 'సింహాసనం' అనే పదం రాజ్యాన్ని సూచిస్తుంది.,"దేశం, దేశం",,GC 08-Feb-19,
t,దేవుని రాజ్యం,"పరలోక రాజ్యం, దేవుని రాజ్యం", దేవుని రాజ్యం; దేవుడు ప్రతిదానిపై ఎలా పరిపాలిస్తాడు; ప్రజలపై దేవుని పాలన (G); దేవుని ప్రభుత్వం (R);,"దేవుని రాజ్యం మానవులు తమ రాజుగా దేవునికి విధేయత చూపే ప్రతిచోటా ఉంటుంది: యేసు రాజు కాబట్టి, ఆయన లోకంలోకి వచ్చినప్పుడు దేవుని రాజ్యాన్ని భూమికి తీసుకువచ్చాడు. దేవుని రాజ్యంలో పరలోకంలో మరియు భూమిపై తమను రాజుగా పరిపాలించడానికి యేసును స్వాగతించే వారందరూ ఉంటారు. 
కొన్నిసార్లు 'సింహాసనం' (రాజు కుర్చీ) అనే పదాన్ని రాజ్యాన్ని సూచించడానికి ఉపయోగిస్తారు.",,,"RR: #3 definition seems to contradict #1.  If Jesus (and God) are truly all-powerful and have all authority, then it seems to me that Jesus has been and is currently the king over earth and heaven.  He is the High King.  Currently there are many 'under kings' reigning on earth, but they are under Jesus' sovereignty.  Perhaps #3 should say something more like One day Jesus will do away with all other earthly kings and he himself will reign soley, visibly as King of earth when earth and heaven are once again rejoined/renewed.
GC: God's eternal sovereign rule over his creation and its creatures, to my knowledge, is not called 'Kingdom of God' in Scripture, only in abstract theology. Theology can inform translators, but should not introduce extraneious infomation into translation of specific verses.
RR: I feel more comfortable in having information that is general here, rather than trying to define past, present, future and eternal kingdoms (which is more a theological extraction than clearly deliniated in Scripture).
GC 08-Feb-19","The Kingdom of God exists wherever humans obey God as their king. Because Jesus is the divine King, he brought God's Kingdom to earth when he came into the world."
t,జ్ఞానం,"తెలుసు, తెలుసు",విషయాల యొక్క నిజమైన జ్ఞానం (G);,"జ్ఞానం లేదా 'తెలుసుకోవడం' అంటే (1) ప్రజలు గుర్తుంచుకోగలిగే మరియు మాట్లాడగలిగే ప్రతిదీ; (2) ప్రజలు నిజమని నమ్మే ఆలోచనలు లేదా ఆలోచనలు; (3) ఎవరితోనైనా లేదా దేవునికి చెందినవారిగా ఉండటం ఆనందించడం; లేదా (4) కలిసి పిల్లలను గర్భం ధరించడం. 

జ్ఞానం అంటే మంచి పనులు చేయడానికి జ్ఞానాన్ని ఎలా ఉపయోగించాలో నేర్పు.",జ్ఞానం,,GC 08-Mar-2019,
n,కోరహు,,,"కోరహు మోషే అహరోనులకు వ్యతిరేకంగా తిరుగుబాటుకు నాయకత్వం వహించాడు. కాబట్టి, దేవుడు నేలను చీల్చాడు, కోరహు మరియు అతనిని అనుసరించిన వారందరూ ఆ పగులులో పడి చనిపోయారు.",,,,
n,లాబాను,,,"లాబాను యాకోబుకు మామ, రెబెక్కా సోదరుడు, హారానులో నివసించాడు. లాబాను లేయా మరియు రాహేలులకు తండ్రి, వారు యాకోబు భార్యలు అయ్యారు.",,,,
n,గలిలయ సరస్సు,,,"గలిలీ సరస్సు ఉత్తర ఇజ్రాయెల్‌లోని ఒక పెద్ద లోతైన మంచినీటి సముదాయం, దీని నుండి జోర్డాన్ నది దక్షిణం వైపు ప్రవహిస్తుంది.",,,GC 08-Mar-2019,
t,దేవుని గొర్రెపిల్ల,దేవుని గొర్రెపిల్ల,"దేవుని కౌమార పురుష గొర్రె (K); దేవుని చిన్న/చిన్న గొర్రె (R, W)","బాప్తిస్మమిచ్చు యోహాను యేసును దేవుని గొర్రెపిల్ల అని పిలిచాడు, ఎందుకంటే యేసు బలిగా చనిపోతాడని, తద్వారా దేవుడు మానవులమైన మన పాపాలను క్షమించగలడని అతనికి తెలుసు. (ప్రకటన గ్రంథం యేసును చంపబడిన లేదా చంపబడిన కానీ తిరిగి బ్రతికిన గొర్రెపిల్ల అని పిలుస్తుంది.)",,,"As essential element of the Good News is that Jesus was crucified because of our sins. Romans explains that Jesus' death exonorates God who forgives guilty sinners. However, the idea of substitution seems a modern, evangelical metaphone that displaces attention away from the holiness of God onto a kind of punishment theme, perhaps a useful idea though hard to prove scripturally.",
t,దీపస్తంభం," దీపం, లాంతరు",,"దీపస్తంభం అంటే లోహంతో తయారు చేయబడిన దీపం, ఇది ఒకటి లేదా అంతకంటే ఎక్కువ అగ్ని జ్వాలలకు మద్దతు ఇస్తుంది మరియు వాటి ఇంధనాన్ని నిలుపుకుంటుంది.",,GC: ,Distinguished from clay lamps and from fire pots.,
t,భూమి,"భూమి, దేశం",భూమి/భూమి (జి);,"భూమి అంటే (1) మనం నడిచే నేల, (2) మనం విత్తనాలు నాటిన నేల, (3) మనం నివసించే దేశం, లేదా (4) సముద్రపు నీటితో కప్పబడని భూమి (మన మొక్కల భాగం) అని అర్థం.",,,,
t,(మోషే ధర్మశాస్త్రం),చట్టం,చాలా కాలం క్రితం మోషే చెప్పిన మాటలు (జి); మోషే ద్వారా దేవుని నుండి వచ్చిన సూచనలు; మోషే మార్గం (పశ్చిమ);,"ఇశ్రాయేలీయుల కోసం దేవుడు మోషేకు బయలుపరచిన నియమాలు మరియు సూచనలు ధర్మశాస్త్రంలో ఉన్నాయి. ధర్మశాస్త్రం (1) దేవుణ్ణి సంతోషపెట్టే చర్యలను చెబుతుంది మరియు (2) మనం ఎంత పాపులమో మానవులకు చూపిస్తుంది. ధర్మశాస్త్రం ఇప్పటికీ మంచిది, కానీ దేవునిపై విశ్వాసం మాత్రమే మనల్ని నరకం నుండి రక్షించగలదు. (క్రైస్తవులు ధర్మశాస్త్రాన్ని పాటించడం ద్వారా కాకుండా, యేసు ఆజ్ఞలను పాటించడం ద్వారా జీవిస్తారు (వాటిలో ప్రధానమైనది ఆయనను విశ్వసించడం.)",,,,
t,నాయకుడు,నాయకులు,మీకు మార్గనిర్దేశం చేసేవారు (జి); హెడ్ మ్యాన్ (యు),"నాయకుడు అంటే ఇతరులు వెళ్ళవలసిన మార్గాన్ని సూచించేవాడు. చాలా శక్తివంతమైన నాయకులను రాజులు లేదా చక్రవర్తులు అని పిలిచేవారు. తక్కువ శక్తివంతమైన వారిని అధిపతులు, గవర్నర్లు లేదా పెద్దలు అని పిలిచేవారు. తక్కువ శక్తివంతమైన వారిని కుటుంబ పెద్దలు మరియు పని యజమానులు అని పిలుస్తారు.","రాజు, పరిపాలకుడు, పెద్దవాడు",other language: head man (urt),,
t,కుష్ఠురోగము,"కుష్టురోగులు, కుష్టురోగులు",లెప్రా (R),"కుష్టు వ్యాధి ఒక తీవ్రమైన చర్మ వ్యాధి. ఈ వ్యాధి ఉన్నవారిని కుష్టురోగులు అని పిలిచేవారు. బైబిల్ కాలాల్లో ఈ వ్యాధితో బాధపడేవారు ఇతరుల నుండి దూరంగా జీవించవలసి ఉండేది. (ఆరోగ్యంగా ఉన్నవారు ఎప్పుడూ కుష్టురోగిని ముట్టుకోకపోయినా, యేసు కుష్టురోగులను స్వస్థపరిచినప్పుడు వారిని ముట్టుకున్నాడు.)",,,,
n,లేవి,"లేవీయులు, లేవీయులు",లెవి (R) వంశం నుండి; లివై (K) వంశం నుండి,"లేవీ అనే ఇశ్రాయేలు తెగకు పూర్వీకుడైన యాకోబు పన్నెండు మంది కుమారులలో లేవీ ఒకడు. ఇశ్రాయేలులో, లేవీయులకు మాత్రమే యెరూషలేము ఆలయంలో యాజకులుగా మరియు పనివారుగా సేవ చేయడానికి అనుమతి ఉంది. ఆరోన్ ఒక లేవీయుడు. సువార్త రాసిన మత్తయిని కూడా లేవీ అని పిలుస్తారు. (క్రైస్తవుల ప్రధాన యాజకుడు యూదా గోత్రం నుండి వచ్చిన యేసు.)",,,,
t,సింహం,సింహాలు,లయన్ (K); పెద్ద పిల్లి / జాగ్వర్ (G); సింబా (W);,"సింహాలు చాలా పెద్దవి, బలమైనవి, ధైర్యవంతులైన పిల్లులు, ఇవి ఇతర పెద్ద జంతువులను చంపి తింటాయి... (వాటికి పదునైన దంతాలు మరియు పొడవైన పంజాలు ఉంటాయి, అవి వెనక్కి తగ్గుతాయి.) (సింహాలు ప్రమాదకరమైనవి మరియు ప్రజలను చంపగలవు.) (రాజులను తరచుగా సింహాలతో పోల్చేవారు.) (యేసును యూదా తెగ సింహం అని పిలుస్తారు.)",,jaguar and simba not helpful in PNG,,
t,పశువులు,,,"పశువులు అంటే మేకలు, ఆవులు, ఒంటెలు, గాడిదలు, గొర్రెలు వంటి పెంపుడు జంతువులు (అడవి కానివి) ప్రజలు వీటిని కలిసి ఉంచుకుని తమను తాము పోషించుకోవడానికి తమ ఇళ్ల దగ్గర చూసుకుంటారు.","మంద, గొర్రెల కాపరి",,,
t,మిడుతలు,మిడత,,"మిడతలు అంటే ఎగిరే కీటకాలు (మిడత లాంటివి), ఇవి గుంపులుగా వచ్చి పంటలను మరియు ఇతర మొక్కలను నాశనం చేస్తాయి. కొంతమంది ఆహారం కోసం మిడతలను తింటారు.",,,,GC 7/7/2019
t,ప్రభువు,,సర్వోన్నతుడైన దేవుడు; గొప్ప/గొప్ప వ్యక్తి; అందరి యజమాని/యజమాని (G); ధనవంతుడు & ముఖ్యమైన వ్యక్తి (R); పెద్ద (K); యజమాని (W);,ప్రభువు అంటే (1) ఏకైక సృష్టికర్త దేవుడు; (2) భూమి లేదా బానిసల యజమాని; (3) భర్త; (4) ఇతర ఆత్మలను పాలించే ఆత్మ; మరియు (5) సర్ వంటి గౌరవ బిరుదు.,దేవుడు,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",
t,ప్రభువు,, సర్వోన్నతుడైన దేవుడు; గొప్ప/గొప్ప వ్యక్తి; అందరి యజమాని/యజమాని (G); ధనవంతుడు & ముఖ్యమైన వ్యక్తి (R); పెద్ద (K); యజమాని (W);,ప్రభువు అంటే (1) ఏకైక సృష్టికర్త దేవుడు; (2) భూమి లేదా బానిసల యజమాని; (3) భర్త; (4) ఇతర ఆత్మలను పాలించే ఆత్మ; మరియు (5) సర్ వంటి గౌరవ బిరుదు.,దేవుడు,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",
n,లోతు,,,"లోతు అబ్రాహాము మేనల్లుడు (సోదరుడి కుమారుడు). లోతు అబ్రాహాము దగ్గర ధనవంతుడయ్యాడు. కానీ ఇద్దరికీ పెద్ద పశువుల మందలు ఉన్నప్పుడు, వారు విడిపోయారు. అబ్రాహాము గుడారాలలో నివసించడానికి ఎంచుకున్నాడు, లోతు వెళ్లి సొదొమ అనే దుష్ట పట్టణంలో నివసించాడు. (లోతు మోయాబీయులకు మరియు ఇశ్రాయేలీయుల శత్రువులైన అమోనీయులకు పూర్వీకుడయ్యాడు.)",,,,
n,Lot,,,"Lot was Abraham's nephew (brother's son). Lot dwealt near Abraham. But when both men had big herds of cattle, they separated. Abraham chose to dwell in tents, whilst Lot went and dwelt in the evil city of Sodom. (Lot became the ancestor of the Moabites and of the Amonites, enemies of the Israelites.)",,,,
t,ప్రేమ,"ప్రేమించే, ప్రేమించే, ప్రేమించే",వాంట్ (W);,ప్రేమ అంటే మనం ఇతరులు మనతో ఎలా వ్యవహరించాలని కోరుకుంటామో అలాగే వారితో వ్యవహరించడానికి ప్రయత్నిస్తాము. దేవుడు మనల్ని రక్షించడానికి యేసును పంపడం ద్వారా మనల్ని ప్రేమించాడు మరియు ఇతరులను బాధపెట్టకుండా ప్రయత్నిస్తూనే నిజమైన అవసరాలను తీర్చడం ద్వారా మనం ఒకరినొకరు ప్రేమిస్తాము. స్నేహితుడికి సహాయం చేయడానికి సంతోషంగా తనను తాను చనిపోవడం (లేదా తనను తాను తిరస్కరించుకోవడం) ఉత్తమ ప్రేమ అని బైబిల్ చెబుతుంది.,"దయ, దయ, దయ",,other lg example weard: want (W)???. E.g. better to say like a lot.,GC 15-Feb-2019
t,మాగీ,,ఆకాశ పరిశీలకులు (W); నక్షత్ర పురుషులు; నక్షత్ర జ్ఞానులు (G); నక్షత్రాలను అధ్యయనం చేసిన పురుషులు; జ్ఞాన ప్రభువులు (W);,"దేవుని నుండి సంకేతాలు లేదా సందేశాలను గ్రహించడానికి, ఆకాశాన్ని మరియు నక్షత్రాలను అధ్యయనం చేసిన తూర్పున ఉన్న జ్ఞానులు.",,,,
n,మనష్షే,,,యోసేపు ఇద్దరు కుమారులలో మనష్షే పెద్దవాడు. మనష్షే ఇశ్రాయేలు గోత్రానికి పూర్వీకుడయ్యాడు. (మనష్షే అనే పేరుకు అర్థం మర్చిపో.),,,GC 23-Feb-2019,
t,మన్నా,, మాన (R); ఆకాశం నుండి పడే ఆహారం (G);,"ఇశ్రాయేలీయులు ఐగుప్తు మరియు కనాను మధ్య 40 సంవత్సరాలు సంచరిస్తున్నప్పుడు దేవుడు వారికి ఇచ్చిన ఆహారం మన్నా. హీబ్రూ భాషలో, మన్నా అంటే 'అది ఏమిటి?' అని అర్థం. అది ఈస్ట్ లేని తీపి రొట్టె లాంటిది. సబ్బాత్ తప్ప, ప్రతి ఉదయం ఇశ్రాయేలీయులు తమ శిబిరం చుట్టూ ఉన్న నేల నుండి మన్నాను సేకరిస్తారు. (మన్నా రుచిగా ఉంటుంది, కానీ అది త్వరగా చెడిపోతుంది.)",బ్రెడ్,,,
n,మార్కు,,,మార్కు అనేది ఒక సాధారణ రోమన్ పేరు. యేసును తెలిసిన యోహాను మార్కు అనే యూదు యువకుడు మార్కు సువార్తను రాశాడు మరియు లూకా సువార్తను వ్రాయడానికి లూకాకు సహాయం చేశాడు.,,"This is not essential:  failed as a Christian missionary -  rather he quarreled with Paul, but is that necessary to mention here? (Hilkka)",GC 08-Mar-2019,
n,మేరీ,,,"మరియ అనే పేరుకు కోరుకునేది లేదా చేదు అని అర్థం కావచ్చు. బైబిల్ యొక్క కొత్త నిబంధనలో, యేసు తల్లి మరియు మగ్దలా నుండి వచ్చిన శిష్యురాలు సహా అనేక మంది స్త్రీలు మరియ అని పిలుస్తారు. లాజరు మరియు మార్తల సోదరిని బేతనియ నుండి వచ్చిన మరియ అని కూడా పిలుస్తారు.",,," Several different women named Mary are mentioned in the New Testament: (1) Mary the mother of Jesus. (2) Mary of Magdala. Jesus drove seven evil spirits from her, and she became one of his followers (Matthew 27:55–56; Mark 16:9; Luke 8:2; John 20:1–2; 11–18, and other passages). (3) Mary of Bethany, the sister of Martha and Lazarus. She sat at the feet of Jesus and listened to his teaching (Luke 10:38–42; John 11:1–5; 12:1–7). (4) Mary the mother of James and Joseph. This Mary may be the same person as Mary the wife of Cleopas, but this is not certain (Matthew 27:56; Mark 15:40; 16:1; Luke 24:10). (5)Mary the mother of John Mark. This Mary had a house in Jerusalem where the disciples of Jesus used to meet (Acts 12:12).",
n,మత్తయి,,,"యేసు తన శిష్యుడిగా ఉండమని పిలిచినప్పుడు లేవీ అని కూడా పిలువబడే మత్తయి విద్యావంతుడు, పన్ను వసూలు చేసేవాడు. మత్తయి యేసు జీవితం గురించి ఒక సువార్త పుస్తకాన్ని రాశాడు.",,,GC 08-Mar-2019,
n,మేదీయులు,మేడిస్,,"మేదీయులు ఒక ఇరానియన్ తెగ. క్రీస్తుపూర్వం 7వ శతాబ్దంలో, వారు బాబిలోన్‌ను దాడి చేయడానికి పర్షియన్లతో పొత్తు పెట్టుకుని మీడియా అనే రాజ్యాన్ని స్థాపించారు. రాజు డారియస్ మేదీయులు.",,,GC 08-Mar-2019,
n,మెల్కీసెడెక్,,,"మెల్కీసెదెకు అంటే నా రాజు నీతిమంతుడు అని అర్థం. అతను సాలెం రాజు మరియు సర్వోన్నతుడైన దేవుని సేవ చేసిన యాజకుడు. అతను ఒకసారి అబ్రాహామును ఆశీర్వదించాడు, తరువాత అతనికి బహుమతి (పదవ వంతు లేదా దశమ భాగం) ఇచ్చాడు. మెల్కీసెదెకు యాజక కుటుంబం నుండి వచ్చాడు కాబట్టి, అతను లేవీ యాజక తెగ నుండి రాని యేసు లాంటి యాజకుడు (అయినప్పటికీ ఇద్దరూ సర్వోన్నతుడైన దేవునికి విధేయత చూపడం ద్వారా చట్టబద్ధమైన యాజకులు అయ్యారు.)",,,"Without geneology.' Geneology was a requirement for Levitical priests. Netither Melchizedek nor Jesus had preiestly credentials, yet both became legitimate priests by virtue of their obedience to the Most High God.",
n,మెఫీబోషెతు,,,"మెఫీబోషెతు యోనాతాను కుమారుడు. అతను చిన్నతనంలోనే అతని కాళ్ళు విరిగిపోయాయి. దావీదు రాజైన తర్వాత, అతను మెఫీబోషెతు పట్ల చాలా దయ చూపించాడు.",,,GC 07-Feb-19,
t,దయ,దయగల,ప్రేమ/జాలి (R),దయ అంటే నేరస్థుల పట్ల లేదా శత్రువుల పట్ల చూపించే కరుణ. దేవుడు తన జీవులకు అవసరమైనవి అందించినప్పుడు కరుణ చూపిస్తాడు. రోగులను స్వస్థపరిచినప్పుడు మరియు చనిపోయినవారిని లేపినప్పుడు యేసు కరుణ చూపించాడు.,"ప్రేమ, దయ, దయ",Mercy is compassion shown to enemies or offenders. (I don't think it needs to meet material needs/HiA). (Hilkka),"GC: Do you want to contrast with grace?
RR: users can look up grace and get the contrast.",
t,దూత,క్రీస్తు, దేవుడు పంపుతానని వాగ్దానం చేసిన రాజు; మన నిజంగా ముఖ్యమైన అధిపతి (జి); నియమిత వ్యక్తి (యు); అల్-మసీహ్ (పశ్చిమ); కారిసిటో (ర); మెసైయా (కె),"హీబ్రూ పదం మెస్సీయ, గ్రీకు పదం క్రీస్తు, అభిషిక్తుడు అని అనువదిస్తాయి. బైబిల్ యొక్క పాత నిబంధనలో, ఒక ప్రవక్త రాజుల తలపై నూనె పోసిన తర్వాత, వారు రాజులను 'అభిషిక్తుడు' అని పిలిచారు. బైబిల్ యొక్క కొత్త నిబంధనలో, యేసును క్రీస్తు, మెస్సీయ మరియు దేవుని అభిషిక్తుడు అని పిలుస్తారు.","రాజు, దేవుని కుమారుడు",other language: the appointed man (urt).; These are not helful in PNG: Al-Masih (W); Kaarisito (R,,
n,మీకాలు,,,"మీకాలు రాజైన సౌలు కుమార్తె. ఆమె దావీదును ప్రేమించింది, అతను రాజైన సౌలుకు సేవ చేస్తున్నప్పుడు ఆమెను వివాహం చేసుకున్నాడు. సంవత్సరాల తరువాత, దావీదు యెరూషలేము వీధుల్లో నాట్యం చేసినప్పుడు ఆమె అతన్ని మందలించింది. ఆమెకు పిల్లలు పుట్టలేదు.",,,GC 25-Apr-2019,
n,మిద్యాను,మిద్యానీయులు,,"మిద్యాను అబ్రాహాము రెండవ భార్య కెతూరాకు నాల్గవ కుమారుడు. మిద్యాను దేశం వాయువ్య అరేబియాలో ఉంది, మోషే ఈజిప్టు నుండి పారిపోయిన ప్రదేశం అక్కడికే. మిద్యాను దేశ ప్రజలను మిద్యానీయులు అని పిలుస్తారు. న్యాయాధిపతుల కాలంలో వారు ఇశ్రాయేలుపై దాడి చేసి దోచుకునేవారు. దండెత్తి వచ్చిన మిద్యానులను ఓడించడానికి దేవుడు గిద్యోనును బలపరిచాడు.",,,"GC 08-Feb-19

Gideon did not go conquer Midia.","


"
t,అద్భుతం,"అద్భుతాలు, అద్భుతాలు", ప్రజలను ఆశ్చర్యపరిచే విషయం (G);,"దేవుడు మాత్రమే చేయగలిగేది ఏదైనా అద్భుతం. తాను దేవుడని చూపించుకోవడానికి యేసు అద్భుతాలు చేశాడు, మరియు ఆయన అపొస్తలులు తాము దేవుని దూతలమని చూపించడానికి అద్భుతాలు చేయగలిగారు. అద్భుతాలను సంకేతాలు మరియు అద్భుతాలు అని కూడా అంటారు. అద్భుతాలు మాయాజాలం లేదా ఉపాయాలు లేదా మోసం కాదు.",,,GC 19-Feb-2019,
n,మిర్యాము,,,మిర్యాము మోషే మరియు అహరోనుల సోదరి. ఆమె ఇశ్రాయేలీయులకు పాటలు నేర్పించే ప్రవక్త్రి.,,,,GC 7/7/2019
n,మోయాబు,"మోయాబీయులు, మోయాబీయులు",,"మోయాబు అబ్రహం మేనల్లుడు లోతు కుమారుడు. మోయాబు వంశస్థులు మోయాబీయులు, వారు జోర్డాన్ నది అవతల ఇజ్రాయెల్‌కు ఆగ్నేయంగా ఉన్న మోయాబులో నివసించారు. మోయాబీయులు తమ పిల్లలను బలి ఇవ్వడం ద్వారా మోలెకు దేవుడిని ఆరాధించారు. రూతు మోయాబుకు చెందినది, ఆమె రాజు దావీదు మరియు యేసు పూర్వీకురాలు అయ్యింది.",,,,
n,మోలెకు,,,"మోలెకు అనేది ఒక దుష్ట ఆత్మ మరియు కొంతమంది అన్యులు పూజించే దేవుడు లేదా విగ్రహం. కొన్ని దేశాలలో, ఆరాధకులు తమ సొంత పిల్లలను మోలెకు విగ్రహాలకు బలి ఇచ్చారు. యెరూషలేములోని కొంతమంది ఇశ్రాయేలీయులు తమ పిల్లలను బలి ఇవ్వడం ద్వారా ప్రభువును చాలా కోపగించారు. (మోలెకు అనే పేరుకు మరణ రాజు అని అర్థం.)",,,GC 19-Feb-2019,
n,మొర్దెకై,,,"మొర్దెకై ఒక యూదు బహిష్కృతుడు, అతను పర్షియన్ రాజు జెర్క్సెస్ రాజభవనంలో పనిచేశాడు. అతను తన అనాథ బంధువు ఎస్తేరును పెంచాడు, ఆమె జెర్క్సెస్ రాణి అయ్యింది. మొర్దెకై తన నమ్మకమైన సేవకు జెర్క్సెస్ ప్రతిఫలమిచ్చాడు.",,,GC 08-Mar-2019,
n,మోషే,,మూసా (అర్ నుండి పశ్చిమ),"మోషే యేసుకు దాదాపు 1450 సంవత్సరాల ముందు జీవించాడు. అతను ఈజిప్టులో ఒక హీబ్రూ బానిస కుటుంబంలో జన్మించాడు, కానీ ఒక ఈజిప్షియన్ యువరాణి అతన్ని దత్తత తీసుకుంది. మోషే 40 సంవత్సరాల వయస్సులో ఈజిప్టును విడిచిపెట్టాడు, కానీ దేవుడు 80 సంవత్సరాల వయస్సులో హెబ్రీయులను కనానుకు నడిపించడానికి అతన్ని తిరిగి ఈజిప్టుకు పంపాడు. దేవుడు తన ధర్మశాస్త్రాన్ని మోషేకు (పాత నిబంధన యొక్క మొదటి పుస్తకాలను వ్రాసిన) వెల్లడించాడు.",,arabic ref.,,
t,ఆవాలు,,మస్తాద్ (కె),"ఆవాలు అనేది ఒక రకమైన సుగంధ ద్రవ్య మొక్క, దానిలో చిన్న విత్తనాలు ఉండి పెద్ద మొక్కగా పెరుగుతాయి. 'మీకు ఆవాలంత విశ్వాసం ఉంటే, మీరు పర్వతాలను కదిలించవచ్చు' అని యేసు చెప్పాడు.",,,,
t,బోళము',,మిరా (R) అనే జిగట సుగంధ ద్రవ్యం; మిరా (K) అనే చెట్టు యొక్క మంచి వాసనగల రసం; వాసన వచ్చే రసం (W),"మిర్ర అనేది ఒక నిర్దిష్ట చెట్టు యొక్క ఖరీదైన, తీపి వాసన కలిగిన రసం లేదా రెసిన్. యూదులు మిర్రర్‌ను ఔషధంగా ఉపయోగించారు, ఎందుకంటే ఇది ఒక వ్యక్తికి నిద్ర వస్తుంది కాబట్టి అతనికి ఎక్కువ నొప్పి అనిపించదు. వారు ఖననం కోసం మృతదేహాలకు కూడా మిర్రర్‌ను పూసేవారు.",ధూపం,,GC 07-Feb-19,
n,నామాను,,,"యేసు కంటే దాదాపు 800 సంవత్సరాల ముందు సిరియా దేశంలో నయమాను నివసించాడు, అక్కడ అతను సైనికాధికారిగా ఉన్నాడు. అతను యూదుడు కాదు, అన్యుడు (అన్యుడు), మరియు అతను చర్మ వ్యాధితో బాధపడ్డాడు. ప్రవక్త ఎలీషా అతనిని జోర్డాన్ నదిలో స్నానం చేయమని చెప్పాడు. నయమాను విధేయత చూపాడు మరియు స్వస్థత పొందాడు, ఇశ్రాయేలు దేవునిపై విశ్వాసి అయ్యాడు. (మోషే ధర్మశాస్త్రాన్ని పాటించని నామాను దేవుడు అంగీకరిస్తాడని యేసు యూదులకు చెప్పాడు.) (నయమాను అనే పేరుకు ఆహ్లాదకరమైన అర్థం.)",,,GC 07-Feb-19,
n,నయోమి,,,"నయోమి ఇశ్రాయేలుకు చెందిన ఒక స్త్రీ, ఆమె తన భర్తతో మోయాబుకు వలస వెళ్లి, తన భర్త మరియు కుమారులు మరణించిన తరువాత ఇశ్రాయేలుకు తిరిగి వచ్చింది.",,,,
