, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,"???????, ??????????",,"??????? ??????? ??????? ??? ???? ???? ?????????? ????? ??? ?? ???-??? ??????????? ?? ??????? ????? ???? ??? ??????, ????? ??? ?? ?? ??????? ?????? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??? ????? ???? ?????? ?? ??? ??, ??????? ??????? ?? ??????? ???? ?????? ??? ?? ????? ?????? ?? ???? ?? ???????? ????, ?? ??????? ???? ?? ???? ?? ?????? ?? ??? ????? ?? ???, ??????? ?? ????? ?? ?? ???? ??????? ?? ?? ??? ???? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,,,"?????? ????? ?? ?? ??????? ?? ??? ??? ???? ????? ?? ????? ?? ??? ?? ????? ?? ??? ??? ??? ??? ??? ??? ????? (??????  ??? ?? ???? ???? ""???????? ??? ""???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????????????,???????? ,,"????????????, ???? ???????? ?? ??? ???? ??, ??????? ?? ????? ??? ?? ??? ?? ????? ?? ????????? ????? ?? ????? ?? ?????? ??? ????????? ??????? ???? ??? ??? ?? ??? (????? ??? ???????? ??? ?? ???? ""??????"" ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ???? ?? ???? ?? ???? ?? ?????? ????? ?? ?? ???????? ??? ?? ?? ?? ??? ????? ??? ?? ????? ?? ????????? ?? ??? ??? ????? 2:18 ??? ???? ??? ????? ????? ?? ??? ?????? ?? ??? ???????? ???? ??? ??? ???????? 31:15 ???, ??????? ??? ?????? ?? ????? ??? ??? ??, ?? ????? 2:18 ???, ?????? ??? ?????? ?? ????? ??? ??? ??, ?? ?? ???? ???? ?? ??? ?????? ?? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ?? ????? ??????, ?? ????-???????? ?? ?? ?????? (???? ?? ????? ?? ??????) ?? ?? ???? ???? ?? ???? 1400 ??? ???? ????? ??? ??? ???? ??? ?? ???? ???? ?? ???? ???? ??????????? ?? ????? ?? ?????, ?? ??? ??????? ?? ???????? ?? ??????? ?? ???, ????? ???? ???????? ??????? ?? ????? ?? ????? ??? ??? ??? ?????, ??? ?? ?????? ????? (????? ?? ??????? ????? ???? ?? ??? ?? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,????? ???? ???? ?? ???? 1800 ??? ???? ???? ???? ?? ??????? ?? ???? ????? ?? ????? ?? ???? ?? ????? ??? ?? ??????? ????? ?? ??? ????,,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"???????? ???? ??????? ?? ?? ????? ????? ??? ??????? ?? ?????? ?? ???, ???????? ???? ???? ????? ?? ???? ?? ???? ??? ?? ????? ?? ??? ???? ??????? ????, ?? ????? ?? ??????? ?? ???? ?? ????? ?? ????? ??? ??? ???? ???????? ?? ??????? ??? ????? ?? ???? ????, ???? ??????? ???? ??? ??? ??????? ?? ???? ???? (???????? ??? ?? ???? ?? ""????? ?? ??????? ????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"?????, ????? ?? ??? ?? ????/???? ???? ????? ??? ????? ??????? ?? ???? ??????? ??? ?? ?? ?? ?????? ???? (????? ??? ?? ???? ??, ????, ?? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
n,??? ,???????,,"??? ???? ???? ??? ?? ??????? ?? ?? ??? ???? ?? ??? ??, ??? ?? ?????? ?? ??????? ??????? ?? ???? ??????? ?? ?? ??? ??? ????????? ?? ???? ?? ???? 100 ???? ????? ?? ???? ???? ?? 700 ???? ??? ?? ?? ????? ?? ???? ????? ?????? ???? ??? ?? ??? ????? ????? ???, ??? ?? ???????? ???? ?? ???? ?? ??? ?? ???? ??????? ?? ?????? ???? ?? ??????? ??? ??????? ?? ????? ???? ?? ???? ????/????? ????? ????? ??? ????? ????? ??? ?? ??????? ?? ???? ???? ??, ?? ????? ??????? ?? ??????? ?? ???? ?? ????? ??? ?? ?? ?????? ?????? ?? ????? ?? ??-????? ?? ??????? ????? ???? ?? ????? ???? ???? ?? ???? ??? ???????? 300 ?????? ?? ???? ????? ?? ??? ????",,,,,,,,,,,,,,,,,,,,,,,,
n,???,,,??? ???? ?? ?? (???-?????) ?????? ??? ?? ?? ????? ?? ????? ????? ????? ?? ?? ??????? ??? ?? ?? ?? ??? ??? ??? ????? ?? ??? ??????? ?? ???? ????? ??? ?? ?? ??? ???? ?? ???? ????? ????? ???? ????? ???? ???? ?? ???? ?? ?????? ????,,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ???, ????-?????? ????? ?? ?? ??????? ????? ?? ?????? ???? ??? ?? ????? ??????? ?????? ?? ?????? ??? ?? ???????? ?? ?? ?????? ?? ????? ?? ???? ??? ????? ?? ?? ???? ?? ???????? ??? ???? ??? (????? ????? ?? ?? ??? ??? ??? ??? ??? ?? ??????, ????? ?? ?? ??? ?? ????? ???? ?? ?? ???? ???? ??? ?? ?????? ?? ?? ?? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,?????,,"??????? ??????? ??????? ?? ?? ?????? ??????? ??, ?? ??? ??? ??? ?? ?? ?????? ?? ???? ?? ???? ???? ???? 600 ???? ????? ?????? ?? ???????? ?? ??????? ?? ????????? ?? ???? ??, ??? ?? ??????? ??? ??????????? ?? ???? ?? ??? ?? ??? ??? ?? ????? ????? ???? ??? ????????? ?? ??, ????? ???????? ?? ???????? ?? ??? ?? ???? ????? ???? ???? ??????? ???????? ??????????? ?? ??? ????? ???? ?? ?? ??? ???? ??????? ?? ???? ???? ?? ???? ??? ??????? ?? ???????? ??? ??????? ?? ????? ???????? ?? ????? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,??????,,,"?????? ???? ???? ?? ???? 1100 ???? ????? ???? ??? ???? ??? ?? ???? ?? ""?????""? ??? ???????? ?? ????? ??????? ???? ????? ??, ????? ????????? ?? ??? ??? ?? ?? ?????????? ???? ??? ???????? ?? ?????? ?? ???? ???? ??????? ????? ??, ????? ??????????? ?? ?? ??????? ?? ??? ????? ???????, ???? ?? ???????? ?????? ?? ????? ???? ????? ??? ???? ?? , ????? ???? ???? ???????? ?? ????? ???? ???? ?? ???? ????? ?? ???  ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ???? ???? ?? ???? 1150 ???? ????? ???? ??? ???? ??? ?? ???? ?? ""???????? ?? ???""? ????? ??????? ??? ?? ???? ????????????? ???, ?? ???? ?? ???? ?? ???? ?? ??????? ?? ???? ?? ??? ??? ???????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,,,"?????? ?? ???? ??? ??????? ???? ????? ??? ?? ??? ???????? ??? ????? ???? ?? ?? ???? ?? ??? ?????? ???? ????? ?? ??? ?? ??? ????? ????? ?? ???????? ????? ????? ?? ???? ?? ???? ??? ??? ????, ?? ???? ??? ?? ??? (?????? ??? ?? ???? ?? ""????"", ?? ????? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ??????? ?? ???? ????? ??? ??????? ?? ?? ?????? ?? ???? ???, ??? ?? ???????? ?? ???? ???? ???? ?? ?? ??????? ??? ?? ????? ?? ???? ????? ???????? ?? ???? ??? ????, ????? ???? ?? ???????, ?? ????? ????, ????? ???? ?? ?????????, ?? ????, ???? ???? ?? ???? ???? ??? ?????, ?????, ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"????, ??????? ?? ???? ????? ?? ?? ????? ?? ??? ???? ???????? ?? ???? ?? ??? ????? ???? ?? ????? (???? ?? ???? ?? ???????, ???? ???? ?? ???? ?? ??????????)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,????? ?????,"crooked mouth (G);
enemy of God;
chief leader of the evil spirits (G);
spirit who accuses others;
Seytaane (W)","????? ?? ???? ?? ???? ????? ???? ?? ??????? ????? ?? ????????? ????? ????? ?? ????? ?? ?? ???????? ?? ??? ??? ???? ?? ??? ???????? ???? ?? ?? ??? ???????? ?? ????? ?? ?? ???? ????? ??? ???????, ???? ???? ???????? ?? ????? ??????????? ?? ???? ???? ???? (?????, ???? ????? ?? ????? ?? ??? ?? ?? ??? ??? ??? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ??? ?? ?? ????? ??: (1) ?? ????, ????? ????? ???? ???? ???? ??????? ?? ???? ???? ?? 1100 ??? ???? ???? ???? ???? ???? ??? (2) ?? ????? ????? ?? ???? ????? ?? ????? ????? ??? ??? ??? ?? ?? ????  ?? ??????? ?? ??? ?? ????? ??? ?? ??????????? ?? ???????? ???????? ???? (??????? ???? ?? ???? ??? ?? ???? ??, ""????? ???""? )",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ??? ?? ?? ????? ??????? ?? ????? ?? ???? ???? ?? ??? ???????? ????, ????? ??? ???? ?????? ?? ??? ??? ?????
???????? ?? ?? ??? ?? ???? ??? ???? ???
???? ??? ?? ?? ??? ?? ?? ??????? ?? ??? ""??? ?????"" ??? ?? ?? ?? ???? ????? ?? ????? ??????? ?? ??? ??? ???? ???
(???? ??? ?? ???? ""????"" ???)",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"????, ??????? ?????? ?? ?? ??????? ??? ??, ???? ???????? ???? ?????? ?????? ???? ???? ??? ?? ???????? ??? ????? ?? ?????? ???? ?? ??? ?? ??? ???? ?? ??????????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,,,"???? ????? ?????? ?? ?? ??? ?? ???? ??????????? ?? ???? ??? ???? ?? ???, ???? ?? ????? ?? ??? ?????? ?????? ????? ??? ??? ??? ??????????? ????? ???? ?? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ??????, ??????????, ??????? ?? ????? ??? ??, ?? ?????? ?? ???, ??????? ?? ????? ??? ????? ??, ???? ?? ???? ??????? ?? ???? ???? ??? ????? ???? ??????? ????? ?? ??? ?? ??? ???? ???? ?? ????? ?? ???? ???? ???? ?? ??? ???? ?? ??? ???? ???? (????? ??? ?? ???? ?? ""??????? ?? ????""? )",,,,,,,,,,,,,,,,,,,,,,,,
n,??? ,????,,??? ?? ???? ?? ??? ?? ???? ???????? ????? ?? ????? ?? ??? ?? ?????? ?? ??? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ??????? ?? ??? ?? ????? ?? ??? ?? ????? ??? ??? ???? ?? ????????? ??????? ?? ??? (????????? ?? ??? 15, 16, 17, 18)? (????? ??? ?? ???? ?? ""?-?????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,???? ,,"????? ??? ?? ?? ??? ??, ???? ????? ?????? ??? ????? ?? ???? ???? ??????? ???? ?? ????? ?? ???? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,????? ????? ,,"???????? ?? ??? ??? ????? ???? ????? ?? ???? ?? ??????? ??, ???? ???????? ?? ????? ?? ???????? ?? ?? ??????? ?????, ?? ??????????? ?? ??? ?? ???? ??????",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ?? ????? ??????? ?? ????? ??????????? ?? ??????? ????? ???? ?? ?? ????? ?????? ??? ?? ????? ????? ?? ?????? ?? ???? ??? ??? ???, ?? ?? ?????? ?? ??? ??? ?????  ?? ?????? ?? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,???? ,?????????? ,,"???? ?? ??? ?? ??? ?? ???? ??? ?? ???? ?????? ???? ??, ?? ????? ???? ??? ?? ??? ??? ???? ?? ????? ?? ????? ?? ????? ??? ??? ??? ??? ?? ???? ???????? ?? ?? ????? ?? ?? ?? ???? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"???????, ????? ??? ?? ???? ?? ?????, ???? ???? ?? ??????? ??? ?? ?? ??? ?????? ??????? ?? ??? ??? ???? ?? ??? ??????? ???? ??? ?? ???? ?? ??????? ??? ???????? ?? ??? ???? ????? ??????? ??????? ??????? ?? ???????? ?? ????? ??? ?? ???? ????, ????? ???????? ?? ??? ????????? ?? ???? ????? ?????? (???????, ??? ??? ??????? ?? ?? ???????? ?? ????? ???? ?? ?????? ?????????? ??????? ?? ???? ???? ?? ?????? ???? ??? ?????)",,,,,,,,,,,,,,,,,,,,,,,,
n,????????,,,"???????? ?? ????? ???????? ??? ?? ?? ?? ??????? ?? ????????? ???? ?? ??? ??? ???? ???? ??, ?? ?????? ????? ?? ???????? (???? ?????? ?????????) ??? ?? ?????? ?? ???? ?????? ?? ?? ???? ?? ???? ??? ?????? ?? ????? ??? ?? ???????? ??? ????? ?????? ?? ???? ????? ?? ????? ?????, ?? ???????? ?????? ????-???? ??????? ?? ????? ??? ????? (???????? ??? ?? ???? ?? ""?????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????? ,??????? ,,"?????? ???? ?? ?????? ?? ?????-????? ??? ????? ?? ??? ?? ?? ?? ?? ??? ?????? ?? ??????? ????? ??-????? ?? ????? ????? ???? ??, ?? ?? ?? ???? ???? ????? ??? ?? ?? ??????? ????? ??????? ?? ??????????? ????? ?????? ???? ?? ?????? ????? ?? ??? ????? ?? ?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,????? ????? ,,????? ?????? ??????? ??? ?? ????? ??? ?? ??? ???????? ????? ?? ??? ?? ???? ?? ??????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,????? ???? ???? ?? ?????? ?? ???? ?? ????? ??????? ?? ??? ???,,,,,,,,,,,,,,,,,,,,,,,,
n,????????? ,,,"????????? ????? ????? ?? ???? ???? ??? ????????? ???, ?? ????? ?? ??? ?? ????? ??? ??? ???? ?? ????????? ???? ?? ??? ?? ??????? ?? ??? (????????? ?? ??? 16, 17, 18, 19, 20)? ??? ??? ????? ?? ????????? ?? ???? ????, ?????? ??? ????????? ?? ?????? ???? ?? ????? ????? ???? (????????? ??? ?? ???? ?? ""???????? ?? ??? ????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ????? ?? ??? ?????? ??? ???? ???????? ????????? ???? ???? ????? ?? ???? ?? ???, ????? ?? ??????? ????? ?? ?????????? ???? ?? ??? ???? ????? ??? ???, ????? ?? ??? ?? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"???? ???? ?? ???? ???? ?? ???? ?? ?????? ?? ??????? ?? ???? ?? ??? ?? ???????? ?? ???????? ???? ???? (???????? ?? ???? ?? ?????? ?? ?? ???? ?? ??? ?? ????? ???? ????? ???) ?? ??? ??????? ??, ?? ????? ?? ?????? ?? ??????? ?? ??? ?? ?? ??? ???? ??? ????, ????? ?? ?? ?? ????? ?? ??? ????, ??????? ????? ?? ???? ?? ?? ?????? ?? ???? ?? ??? ???? ??? (????? ??? ?? ???? ?? ""??????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,????,,,"???? ????, ?????? ???? ??????? ?? ???? ????? ???? ???? ?????? ???? ?? ?? ?? ??? ???? ?????? ?? ???? ?? ???? ?????? (?????? ??? ???? ?? ???? ?? ""??????"")",,,,,,,,,,,,,,,,,,,,,,,,
n,??????????,???????,,"?????????? ?????? ?????? ?? ????? ??? ?????????? ????, ?????? ????????? ?? ??????? ???? ??, ?? 486-465 ??? ????? ?? ???? ???? ??? ??? [???????] ??????? ?? ??? ???? ??? (??????? ??? ?? ???? ?? ""?????""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,"?????,????? ","the (Chief) God; the Most High God; Yawe; I AM
","????? ??? ?? ???? ?? ""?? ??"" ?? ""?? ?? ???????? ??? ??""? ???? ???? ??? ??? ???? ??? ????? ?? ??? ?? ???? ??? ""??? ???"" ??? ??????? 3:14?
???????? ??? ??? ???? ??? ??????? ?? ??? ?????? ??? ??? ""??????"" ???????? ?? ""????????? ????????"" ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
n,????? ,,,"????? ??? ?? ???? ?? ""??????, ??????"" ????? ???? ????? ?? ??? ??? ???? ???? ?? ????? ?? ???? ???? ???? ??, ?? ?????? ?? ???? ???? ???? ??? ??? ???? ?? ????? ?? ???, ???? ???? ??????? ??? ????? ?? ???????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,???????,,,"??????? ??? ?? ?? ??? ??? ????? ?? ?? ?????? ?????? ?? ???? ??? ????? ???? ??????? ?? ????? ??, ????? ???? ???? ?? ??????? ??? ?????????? ?? ?? ?? ????? ?? ????? ?? ?? ???? ??? ???? ?? ??? ???????? ???? ???? ???? ??? ?? ?? ????? ?? ??????????? ?? ????? ???? ??? ?? ?? ?????? ???? ??? ?? ?? ??????? ???????? ???????? ?? ???? ??? (??????? ??? ?? ???? ?? :????? ????? ???? ???""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,??????????,,,"???? ???? ?? ?????, ???? ??????????, ??????? ??????? ??? ????? ?? ???? ???? ??? ???? ???? ?? ???? 586 ???? ????? ? ??????? ?? ???? ?? ??? ???? ??? ???? ?? ???? ????? ???? ???? ?????????? ??? ?? ?? ???? ??????? ?? ??????????? ??????? ?? ????? ?? ????? ????? (?????????? ??? ?? ???? ?? ????? ????? ??""?)",,,,,,,,,,,,,,,,,,,,,,,,
n,?????,,,"????? ????? ?????? ????? ?? ??? ??, ?? ???? ????? ?????? ?? ???? ??? ??? ???? ???? ?? ?? ?? ?? ????? ?????/????? ???? ??? ??? ???? ??? ?????? ??? ?? ?? ?? ?????? ???? ???? ????  ??? ?????  ?? ??, ?? ???????? ????? ?? ????????? ?? ???? ???? ??? ?? ????, ?? ???? ???? ?? ??? ?? ???????? ?? ??????? ???? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n,??????? ,,,"??????? ?? ????????? ??? ?? ?? ?? ??????? ??? ?? ??? ?? ??????? ??? ??? ??? ??????? ???? (1) ??? ??????? ?? ??????? ??, (2) ??? ?????? (?? ????? ???? ???????? ??) ??, ?? (3) ??? ?? ??????? ???",,,,,,,,,,,,,,,,,,,,,,,,
n ,?????,,,"????? ??? ?? ?? ??? ??? ??????????? ????? ????? ???? ???? ?? ??? ????? ?? ????? ???? ??? ??? ???? ?? ???? ????? ?? ??? ????? ???? (????? ??? ?? ???? ??, '?? ???? ???')",,,,,,,,,,,,,,,,,,,,,,,,
n 102,?????,,Abel (W),"????? ???? ???? ?? ??? ?? ???? 4000 ???? ????, ??? ?? ????? ?? ???? ?? ??????? ?? ??? ??? ?? ????? ??? ??? ?? ???????? ?? ??? ???? ????, ?????? ????? ?? ????? ?? ???????? ?? ??? ?? ??????, ?? ??? ??????? ?? ??? ?? ???? ???? ??? ????? ?? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n 117,?????,,,"????? ???? ???? ?? ??? ?? 1500  ????  ????, ???? ?? ???? ??? ????? ?? ??????????? ?? ????? ?? ???? ??????? ??? ???? ?? ??? ?? ?? ? ??? ??? ???????? ?? ????? ?? ??????? ?? ???? ??????? ?? ??? ??? ??????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
n 117,???????,,Ibraayma (W),"?????? ????? ???? ???? ?? ???? 2000 ???? ???? ????? ?? ???????? ?????? ?? ???????? ?? ??????????? ?? ??????? ????,???????? ?? ??? ????? ????? ???? ?? ???? ??? ????? ???????? ?? ???? ????? ???? ?? ""?? ????????? ?? ????""?(??????? ?????? ?? ????? ???? ?? ??? ????? ???? ??, ???????? ?? ?????? ?? ???? ???? ?? ?? ?? ?? ??????? ?? ????????? ?? ?????? ?? ??????)??????? ??? ??????????? ?? ???? ??????? ?? ?????? ?? ????(?????? ??? ?? ???? ?? ???? ?????)",,,,,,,,,,,,,,,,,,,,,,,,
t,????????,"????,??????,??????",,?????????? ?? ???? ?????? ?? ???????? ??? ??? ???? ?? ,"?????,????, ?????, ????",,,,,,,,,,,,,,,,,,,,,,,
t,??????,"??????,?????,????","binding talk;
promise how to act;
his words were not different from (were the same as) the other’s words (G); ","?? ?? ??????? ?? ??? ??-????? ?? ??? ???? ?? ???? ???? ???, ?? ?? ?? ?????? ???? ??? ?? ????? ??? ?? ????? ?? ?? ?? ???? ?????? ?","????, ????,?????????",,,,,,,,,,,,,,,,,,,,,,,
t,??????? ?? ????? ,,which was made of stone (R),??????? ?? ?????  ?? ??? ?????? ?? ?????? ?? ????? ??? ?????? ?? ??? ??? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"??????,???","to become the friend of (G);
fight on the same side
","?? ?? ??? ?? ?????? ???? ?????? ?? ????? ????? ???? ?? ??? ???? ???? ???, ?? ?? ?? ?????? ??? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???,???????,"perfume (W);
one thing which smells good which is called aalo (R)","??? ?? ????? ??? ?? ???? ??, ????? ????? ????? ????? ?? ??? ????? ??? ???? ???? ???
??? ????? ?? ??? ?? ???? ????? ???? ?? ??, ????? ????? ???? ????? ?? ??? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,,,"first; beginning (P);
Alpa (K)","?????? ?????? ???????? ?? ???? ????? ??? ?? ""?"" ?? ??? ????? ??. ????????????? ?? ?????? ???? ?? ?????? ???? ??, ??????? ?? ????? ?? ????? ?? ??? ????? ????? (????? ???? ???? ?????? ??)?",?????,,,,,,,,,,,,,,,,,,,,,,,
t,????,"???????,???????","sacrifice table/platform;
slicing place;
place for offering (something);
platform of cooking gift/offering (R); 
where sacrifices are made (P, W);","???? ??????? ?? ???? ?? ??? ?? ??? ?? ??????? ??? ??, ??? ?? ??? ???????? ?? ??? ?????? ???? ???????? ?? ??????? ?? ???? ???? ????? ??? ?? ??? ???, ??????? ??? ???? ????? ??? ?? ???? ????? ?? ???? ???? ?","???????? ????,
???? ????,??????,
??????",,,,,,,,,,,,,,,,,,,,,,,
t,???? ,,"amin; may it be (P, W);
it is true!;
aamen (R)","???? ?? ???????  ???? ?? ????? ???? ?? ???, ?? ?? ??, ??? ?? ?? ??????? ???? ???, ?? ??? ?? ??",,,,,,,,,,,,,,,,,,,,,,,,
t,?????????,"??????,???????,????????,???,???????????,","spirit messenger obedient to God (whom God sent);
leg/messenger person from God/above/heaven;
one from God's living place (G);
ensel (K); God's helper (P); malaka (W from arabic)","????????? ?? ?????? ???? ?? ????? ???? ????????? ???? ??? ?? ????? ???????? ?? ??? ????? ????? ?? ???? ?? ?? ?? ???? ????? ?? ?????? ????? ??, ?? ?? ????? ?? ????? ?????? ?? ???? ?? ?? ?? ?????? ???? ??? ???? ?? ? ????? ??????? ???-??? ??????????? ?? ??? ??? ????? ???? ???? ?????? ??? ????????? ???? ???? ????? ?? ??? ?? ?????? ?? ????? ???? ??, ? ?? ???? ?????? ?? ?????? ?? ? ",,,,,,,,,,,,,,,,,,,,,,,,
t,??????,"?????? ????, ????????,??? ???? ????","to pour olive oil on one to make him king, chief, true chief (G);
","?????? ?? ???? ?? ????????? ??? ?? ???? ?? ??? ????? ?? ??? ??????? ????, ????? ?? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,,"sent one/person;
one that Christ sends (G);
runner (W);
person for sending from a place (person sent on a mission) (D);
Christian leader chosen by God;
first Christian leaders; 
aapostolo (R)",??????? ?? ?????? ???? ?? ????? ???? ?? '?????? ?? ??? ???? ???'? ???????? ?? ???? ?? ???? ??????? ?? ??? ??? ????? ??? ????? ???? ?? 12 ????????? ?? ???? ??????? ???? ?????? ?? ???? ???? ??? ????? ?? ??? ????? ????????? ?? ?? ?? ????????? ???? ???? ?? ??? ??????? ??? ???? ???? ??????? ?? ????????? ?? ?????,,,,,,,,,,,,,,,,,,,,,,,,
t,?????????,,"place of meeting which is called Areoopagus (K);
meeting place called Areopugas (P);","?????????, ????? ?? ????? ??? ?? ?????? ?? ??? ??? ?????? ?? ??? ?? ???? ?? ?????? ?? ?????? ???? ??? ???? ??? ?? ????????? ?? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ?? ?????? ,???? ?? ?????? ,"box of agreement (W);
box of agreement (tying) (R);
box for covenant/promise;
covenant box; 
sacred chest; the box in which the first writing of the power was kept (P);","???? ?? ?????? ???? ?? ???? ?? ????? ?? ????? ?? ????? ??? ???? ???? ????? ?? ??????? ???, ??? ?? ???????? ?? ??????? ?? ??? ???? ?? ?????? ???? ??? ???? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,,,"gathering together of (G);
","???? ???? ?? ???? ??? ???? ?? ?????? ???? ?? ?? ????? ?? ????? ????? ?????? ?? ??? ????? ???? ???, ?? ?? ??????? ??? ?? ?? ?????? ??? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ????,"????????,  ???????? ???? , ???????? ????,???????? ???? ,???????? ???????? ","to pass (a person) under/through water (D);
dip in water (W);
(to symbolize death to an old life and the start of a new life);
initiate / initiation;
cause to have oneself bathed (becoming followers of Jesus the True Chief)(G);
baptais (K);",???????? ?? ?????? ???? ?? ????? ???? ?? ???? ?? ????? ?? ???? ??? ????? ?????? ????? ?? ??? ???????? ???? ?????? ?? ?? ??? ?? ??? ??? ???????? ???? ???? ??????? ?? ?? ???????? ?? ???????? ???? ?? ????? ?? ???? ?? ????????? ?? ??? ??? ???? ?? ???? ????????? ?? ???????? ???? ?? ?????? ?????? ????? ????? ?? ???? ????? ???? ?? ????? ?? ???????? ???? ??? ?? ???? ?? ????? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,??,,"grain;
baali (R)","?? ????? ???? ?? ?? ???? ??? ???? ??? ?? ?? ???? ????? ??, ??????? ?? ????? ?? ????? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,,wild animals … bea (R),"???? ?? ???? ????, ?????? ?? ????? ???? ????? ?? ?? ?????? ??? ???? ??? ???? ?????? ???? ???, ???? ?????? ???? ?? ???? ???? ???? ???, ?? ?????? ?? ??? ???? ??? ?? ????? ?? ??? ???? ???? ???? ???? ??? ?? ?? ???? ???? ?? ?? ????? ???? ?? ????? ?? ???? ???? ??, ?? ?? ?? ???? ?? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,,"fermented maioc juice, any drink that causes drunkenness (G);
",??? ??? ???? ?? ??? ?? ??? ?????? ????? ?????? ??? ??????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??????,?????????,"intelligence from God;
thinking the same about things that God does (G);
knowledge/wisdom (R); 
the knowing well of things (G);
","?????? ?? ???? ?? ???? ?? ???? ????? ?? ????? ?? ?? ?? ??? ????? ???????? ??????? ?? ?? ?? ??? ???? ??????? ?? ??? ?????? ?????? ??, ??? ?? ?????? ???? ??? (??????, ???? ?? ??? ?? ???? ??? ?? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,"the Word of God (G); Paper of God (W)
","????? ?? ???? ?? ???????? ?? ?? ?????????, ?? ?? ???????? (?? ??? ??? ???)? ?????? ????? ??? ?????? ?? ?? ???? ?? ???????? ???, ??????? ?? ????? ?????? ?? ???? ??? ?? ???-??? ????? ?? ???? ??, ????? ??? ???????? ?? ????? ?????? ??????? ???? ?????? ??? ?? ???? ?? ????",,,,,,,,,,,,,,,,,,,,,,,,
