,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n,याबीन,,,"याबन एक कनानी राजा थिए जसको सेनाले इस्राएलीहरूलाई उत्पीडन गऱ्यो। तिनीहरूले परमप्रभुलाई प्रार्थना गरेपछि, इस्राएलीहरूले याबीनको सेनालाई हराए र उनलाई मारे।",,,GC 07-Feb-19,
n,याकूब,,,"याकूब येशूभन्दा लगभग १८५० वर्ष पहिले बाँचेका थिए। उनी इसाकका छोरा र अब्राहामका नाति थिए। याकूबले परमेश्वरका एकजना स्वर्गदूतसँग मल्लयुद्ध गरे, तब स्वर्गदूतले उनको नयाँ नाम इस्राएल राखे। इस्राएलका बाह्र छोराहरू इस्राएलका बाह्र कुलका पुर्खाहरू बने। (यसैले, इस्राएलीहरूलाई कहिलेकाहीँ याकूबको घर भनिन्छ।)",l इस्राएल,,,
n,यायल,,,"याएल एक केनाइट महिला थिइन् जसको कुल इस्राएलमा बस्थ्यो तर कनानीहरूसँग शान्ति थियो। जब सीसरा इस्राएली सेनाबाट भागे उनले याएलको तम्बूमा शरण लिए, जहाँ उनले सुतिरहेको बेला उनलाई मारे। (याएल नामको अर्थ ""प्रभु परमेश्वर हुन्"")।




",,,"Yah is often assumed to be a short form of Yahweh, even though other nations myths mention a deity called Yah or Yeh.",GC 7/7/2019
t,जेल,"जेलहरु, कैद, prisons, imprisoned, jailed","place where one is emprisoned (G);
","जेल वा कैदी एउटा सानो घर वा कोठा हो जसमा सरकारहरूले अपराधीहरू वा अपराधका अभियुक्तहरूलाई बन्द गरिदिन्छन्। योसोफलाई मिश्रको जेलमा, पत्रुसलाई यरूशलेमको जेलमा र पावललाई रोमको जेलमा राखिएको थियो। जेलमा बन्द व्यक्तिलाई कैदी भनिन्छ। जेल वा जेलमाथि अधिकार भएको व्यक्तिलाई जेलर भनिन्छ।", साँग्लो,,GC 19-Feb-2019,
n,याकुब,,,याकूब नामका धेरै मानिसहरू थिए। दुईजना प्रेषित थिए। अर्को येशूका भाइ याकूब थिए जो पछि इसाई र यरूशलेमका मण्डलीहरूमा अगुवा बने। (याकूबको हिब्रू रूप याकूब हो जसको अर्थ सर्पप्लान्टर हो।),,,GC 08-Mar-2019,
t ,ईर्ष्या,ईर्ष्यालु,,"ईर्ष्याको अर्थ हुन सक्छ (१) अरू कसैले सफल हुँदा वा आफूले चाहेको कुरा पाउँदा नराम्रो वा रिसाउनु, (२) अरूलाई ईर्ष्या गर्नु, वा (३) उनीहरूसँग जे छ त्यसको चाहना गर्नु। ईर्ष्याले तपाईँलाई पापतिर लैजान सक्छ। आफ्ना मानिसहरूले अन्य देवताहरूको पूजा गर्दा परमेश्वरले ईर्ष्या महसुस गर्नुहुन्छ।",,,The slant (/) has no meaning.,
n,यहोयाकीन,"यहोयाकीन, कोनियाह",,"यहोयाकिन, जसलाई कोनियाह र यहोयाकीन पनि भनिन्छ, यहूदा (दक्षिणी इस्राएल) का राजा थिए जब बेबिलोनको सेनाले ख्रीष्टभन्दा ५९८ वर्ष अघि यरूशलेम सहरमा आक्रमण गरी कब्जा गरेको थियो।",,,,GC 7/7/2019
n,यहोयादा,,,राजा योआशको शासनकाल अघि र समयमा यहोयादा यरूशलेमको मन्दिरमा प्रधान पुजारी थिए। उनकी श्रीमतीले दुष्ट रानी अथल्याहद्वारा मारिएको बच्चा योआशलाई उद्धार गरिन्।,,,,GC 7/7/2019
n,यिप्ता,,,"यिप्ता न्यायकर्ताहरूको समयमा येशूभन्दा लगभग १७०० वर्ष अघि बाँचेका थिए। उनी इस्राएली सेनाको नेता बने, जसले यसलाई विजयमा पुर्यायो।",,,,
n,यर्मिया,,,"यर्मिया येशूभन्दा लगभग ६०० वर्ष पहिले, बेबिलोनले इस्राएललाई नष्ट गरेको समयभन्दा अघि र समयमा बाँचेका थिए। उनी परमेश्वरका एकजना अगमवक्ता थिए जसले बाबलोनका मानिसहरूलाई यरूशलेम कब्जा गर्न र ७० वर्षसम्म बन्दी बनाउन आउने चेतावनी दिँदै इस्राएलका मानिसहरूलाई उनीहरूको अवज्ञाबाट पश्चात्ताप गर्न बोलाए।",,,,
n,यरिहो,,,"यरीहो कनानको एउटा बलियो, पर्खालले घेरिएको सहरको नाम थियो। यहीँ राहाब बस्थिन्। यरीहो पहिलो सहर थियो जसलाई यहोशू र इस्राएलीहरूले परमेश्वरको चमत्कारिक सहायताले पराजित गरे। परमेश्वरले यरीहोका पर्खालहरू खसालिदिए।




",,,Good as is.,
n,यरुबाम,,,"राजा सोलोमनको मृत्युपछि उनको राज्य दुई भागमा विभाजित भयो। यारोबाम उत्तरी भागमा राजा भए, जसलाई तिनीहरूले इस्राएल भने। यारोबामले इस्राएलका मानिसहरूलाई यरूशलेम जानबाट रोक्न र गोरुजस्तै देखिने मूर्तिहरूलाई पुजेर प्रभुको उपासना गर्न भने, र उनले आफूलाई पुजारी बनाए। यी कार्यहरूले परमप्रभुलाई अप्रसन्न बनायो। यारोबाम एक दुष्ट राजा थिए।",,,GC 19-Feb-2019,
n,यरुशलेम,,," राजा दाऊदले यरूशलेम कब्जा गरेपछि, यो इस्राएलको राजधानी बन्यो। (यरुशलेम नामको अर्थ शान्तिको सहर हो।) राजा सोलोमनले यरूशलेममा परमेश्वरको मन्दिर बनाए। १००० वर्षसम्म, यरुशलेम सहर यहुदीहरूका लागि आराधनाको केन्द् स्थान रह्यो। यरूशलेमको अर्को नाम सियोन पर्वत हो, किनकि यो पहाडमा अवस्थित छ। यरूशलेम धेरै पटक ध्वस्त र पुनर्निर्माण गरिएको छ।", सियोन,, ,
n,यिशै,,,"यिशै राजा दाऊदका पिता थिए, जो येशू ख्रीष्टका पूर्वज थिए। पुरानो नियममा, अगमवक्ता यशैयाले लेखेका थिए कि मसीह वा ख्रीष्ट यिशै र दाऊदका वंशज हुनुहुनेछ।",,,,
n,येशू,,"यीसू रोमी लिपिमा, ईशा अरबिक लिपिमा (W);","(एक स्वर्गदूतले मरियम र योसेफलाई उनको छोराको नाम राख्न भने) येशू, जसको अर्थ ""परमेश्वरले बचाउनुहुन्छ"" किनभने उहाँले मानिसहरूलाई तिनीहरूको पापहरूबाट बचाउनेछन्। येशू प्रतिज्ञाबद्ध मसीह वा ख्रीष्ट हुनुहुन्छ। उहाँ मानव शरीरमा आएका परमेश्वर हुनुहुन्छ, एक मात्र मुक्तिदाता। (उहाँले पृथ्वीमा चमत्कार काम, उहाँले हाम्रो पाप कारण मृत्यु, उहाँले तीन दिन पछि पुर्नरुत्थान हुनुभयो, र उहाँले जहाँ देखि स्वर्गमा जानुभएको छ एक दिन उहाँले जीवित र मृत न्याय गर्न फर्कनुहुननेछ र राज्य शासन जारी जो उहाँले अझै पनि निर्माण प्रक्रियामा छ) येशूलाई दिइएको केही अन्य उपाधिहरू हुन्ः येशू ख्रीष्ट, मसीह, परमेश्वरको पुत्र, मानिसको पुत्र, दाऊदको पुत्र हुनुहुन्छ।",,Arabic ref.,,
n,यित्रो,रुएल,,"यिथ्रो मिद्यानका पुजारीको उपाधि थियो। उनको व्यक्तिगत नाम रेउएल (पूर्व। (४.१८) मोशाले लगभग १४०० ईसा पूर्वमा जेथ्रोकी एउटी छोरीसँग विवाह गरे। (रुएल नामको अर्थ ""परमेश्वरको मित्र"" हो।)",,,,GC 7/7/2019
n,यहुदी,"यहुदीहरु, यहुदी, हिब्रुहरु",people (a tribe) called Jews; sons of Israel (W);,"यहुदीहरू अब्राहाम र याकूबका सन्तान थिए, जसलाई इस्राएल पनि भनिन्छ। तिनीहरू यहूदा भनिने भूमिमा बस्थे, यसैले यहूदीहरूको उपाधि दिइयो। यहुदीहरूलाई ""परमेश्वरका मानिसहरू"" भनेर चिनिन्थ्यो किनभने परमेश्वरले तिनीहरूलाई त्यो राष्ट्रका रूपमा चुन्नुभयो जसको माध्यमबाट उनले आफूलाई चिन्नुहुनेछ र जसको माध्यमबाट मसीहको जन्म हुनेछ। परमेश्वरले इस्राएललाई चुन्नुभयो, यहूदीहरू, सबै राष्ट्रहरूका लागि ज्योति हुन, सारा संसारमा परमेश्वरलाई देखाउन। जातीय यहुदीहरूले त्यसो गरेनन्। त्यसैले संसारका सबै राष्ट्रहरूमा ज्योति र जीवन ल्याउने आफ्नो उद्देश्य पूरा गर्न परमेश्वरले यहूदीका रूपमा जन्मेका येशूलाई पठाउनुभयो। येशूले सिकाउनुभयो कि ""साँचो"" यहूदी अब्राहामको जातीय वंशज होइन, बरु कुनै पनि व्यक्ति (तिनीहरूको जैविक जातीयता जस्तोसुकै भए पनि) जसले अब्राहामले जस्तै परमेश्वरलाई विश्वास र आज्ञा पालन गर्दछ।  ","अन्या जाती,  इस्राएली","I would leave this out from notes: Sometimes the term ""Jew"" is used figuratively/generically in the New Testament to refer to believers, Christians, people who truly belong to God. (Hilkka)",,
t,गहना,"गहनाहरू, रत्न, रत्नहरु, रत्न ढुङ्गा, रत्न ढुङ्गाहरु",stone (R); beads (R); stones you pay big money (U);,"गहनाहरू विभिन्न रङका सुन्दर ढुङ्गाहरू हुन्, जसमा धेरै पैसा खर्च हुन्छ। इस्राएलका प्रधान पुजारीले आफ्नो छातीको पातामा गहना लगाउँथे (इस्राएलका १२ जातिहरूको प्रतीकको रूपमा) नयाँ यरूशलेमलाई प्रकाशको पुस्तकमा गहनाबाट बनेका पर्खालहरू भएको रूपमा वर्णन गरिएको छ।",,other language: stones you pay big money,,
t,यहुदी,"धार्मिक अगुवाहरू, धार्मिक अगुवाहरू, यहुदी धार्मिक अगुवाहरू","leaders of Jews who believe in God (G); 
","यहुदी धार्मिक अगुवाहरूमा पूजाहारीहरू, रब्बीहरू, शास्त्रीहरू र शिक्षकहरू थिए जसले अरूलाई परमेश्वरका नियमहरू बुझ्न र पालन गर्न मद्दत गर्ने अपेक्षा गरिएको थियो। यस्ता धेरै नेताहरूले येशूलाई विश्वास गरेनन् र इसाई बनेका यहुदीहरूलाई हानि पुऱ्याउने प्रयास गरे।"," फरिसी,  सदुकी",,GC 15-Feb-2019,
n,योआब,,,योआब धेरै वर्षसम्म दाऊदको सेनाका वफादार सेनापति थिए।,,,GC 07-Feb-19,
n,योआश,योआश,,"योआश लगभग ८०० वर्ष पहिले यहूदा (दक्षिणी इस्राएल) का राजा थिए। जवान हुँदा उनले प्रभुको सेवा गरे, तर बुढेसकालमा उनले खराब काम गरे र मारिए।",,,GC 07-Feb-19,
n,अय्यब,,,"अय्यूब एक प्रसिद्ध, धनी, ईश्वरीय, असल मानिस थिए जो लामो समयसम्म बाँचेका थिए। शत्रुहरूले उनको सबै सम्पत्ति चोरेपछि र शैतानले उनका सन्तानहरूलाई मारेपछि, उनी धेरै बिरामी भए। उनका साथीहरूले उनलाई गोप्य पापको आरोप लगाए, तर अय्यूबलाई उनी असल मानिस हुन् भनेर थाहा थियो, त्यसैले उनी किन दुःख भोगिरहेका थिए भनेर परमेश्वरलाई सोध्न चाहन्थे। उनी नम्र भएपछि, भगवानले उनको स्वास्थ्य र उनको सम्पत्ति पुनर्स्थापित गरे, र उनका थप सन्तानहरू भए।",,,GC 19-Feb-2019,
n,युहून्ना,,Yowanna (W),"यूहन्ना नामको अर्थ ""परमेश्वरको अनुग्रह"" हो। बाइबलमा यूहन्ना नामक पुरुषहरू समावेश छन् (१) बप्तिस्मा दिने जसले मानिसहरूलाई परमेश्वरमा फर्कन चेतावनी दिए, (२) येशूको एक प्रेषित जो येशूको धेरै नजिकको तिन मध्ये एक थियो र जसले सुसमाचार लेखे, धेरै पत्रहरू र लगभग निश्चित रूपमा रूजवेल्टियन, (३) बर्नबासको चचेरा भाई जोन मार्क भनिने सुसमाचार लेखे, (४) पत्रुसका बुबा, (५) एक प्रधान पुजारीको आफन्त।",,Arabic ref.,Some believe that (2) and (6) be the same man.," Several people named John are mentioned in the New Testament. The two most important are John the Baptizer and John the Apostle: (1) John the Baptizer was the prophet who prepared the way for Jesus. He was a prophet in the tradition of Elijah, and like Elijah he warned the people to repent and come back to God. See Matthew 3:1–15; 11:2–19; 14:1–12; 17:13; 21:24–32; Mark 1:4–11; 6:14–29; 11:29–33; Luke 1:13–17, 57–63, 76–80; 3:2–20; 7:18–33; 11:1; John 1:6–8, 15, 19–36; 3:22–30. (2) John the Apostle was the son of Zebedee and brother of James. He was one of the twelve apostles of Jesus. He wrote the Gospel of John and the Letters of John, and almost certainly the Book of Revelation. See Matthew 4:21–22; 10:2; 17:1–13; Mark 1:29; 3:17; 5:37; 9:1–13, 38; 10:35–41; 13:3; Luke 8:51; 9:28–36, 49, 54; 22:8; Acts 3:1–11; 4:13, 19–20; 8:14–17; Galatians 2:9; Revelation 1:1, 4, 9; 22:2, 8. (3) John Mark, the cousin of Barnabas and co-worker of Paul, wrote the Gospel of Mark (Acts 12:12; 13:4–13; 15:37–39; Colossians 4:10; 2 Timothy 4:11; Philemon 24; 1 Peter 5:13). (4) John was the name of the father of Simon Peter (Matthew 16:17; John 1:42; 21:15–17). (5) Also there was a member of the family of the High Priest Annas named John (Acts 4:6)."
n,योना,,,"योना येशूभन्दा लगभग ८०० वर्ष पहिले बाँचेका थिए। उनको नामको अर्थ डभ, एक प्रकारको चरा हो। उनी परमेश्वरका अगमवक्ता थिए जसले (अनिच्छापूर्वक) निनिवाको दुष्ट सहरलाई पश्चात्ताप गर्न बोलाए। (येशूले एक पटक भने कि उनी आफै आफ्नो मृत्युको तीन दिन पछि जीवनमा फर्कनेछन्, किनकि जोनाह तिन दिन पछि ठुलो माछामा थिए जसले उनलाई पछ्याएको थियो। परमेश्वरले योनाको जीवनलाईयोनाका शब्दहरू जत्तिकै सन्देशको रूपमा प्रयोग गरे।",,,,
n,योनाथन,,,"योनाथन राजा शाऊलका छोरा थिए। उनी र दाऊद धेरै असल साथी बने। जब शाऊल र योनाथन युद्धमा मरे, दाऊद तिनीहरूको ठाउँमा राजा भए। (योनाथन नामको अर्थ प्रभुबाट उपहार हो।",,,,
n,योप्पा,,," योप्पा यरूशलेमको पश्चिममा समुद्री तटमा रहेको एउटा सहर थियो, जहाँ जहाज र डुङ्गाहरू आउने र जाने गर्थे।",,,GC 19-Feb-2019,
n,यर्दन,यर्दन नदि,,"यर्दन इस्राएलको भूमिमा उत्तरबाट दक्षिणमा बग्ने लामो नदीको नाम हो। यर्दनको पश्चिमतिर राम्रो खेतीयोग्य जमिन छ, जबकि यर्दनको पूर्वतिर उजाडस्थान छ।",,,,
n,योसेप,,,"योसेफ नाम भएका पुरुषहरूमा (१) याकूबको एघारौँ छोरा, (२) मरियमको पति, (३) येशूका भाइहरू मध्ये एक, (४) येशूको शरीर गाडेको धनी यहुदी नेता र अन्य समावेश छन्।
याकूबका छोरा योसेफलाई येशूभन्दा लगभग १८०० वर्ष पहिले मिश्रमा दासका रूपमा बेचिएको थियो (र मिश्रमा एक महत्त्वपूर्ण अधिकारी बने जहाँ उनले याकूबको परिवारलाई ४०० वर्ष बस्न ल्याए) (योसेफ नामको अर्थ उसले थप्नेछ।)




",,,,
n,यहोशू,,,"यहोशू येशूभन्दा लगभग १४०० वर्ष पहिले बाँचेका थिए। उनको नामको अर्थ ""परमेश्वरले बचाउँनुहुन्छ"" हो। मोशाले कनानमा पठाएका १२ जना जासुसहरूमध्ये उनी एक थिए। मोशाको मृत्यु भएपछि यहोशू इस्राएलका अगुवा बने, जबसम्म तिनीहरूले कनानलाई जिते। (उनले भने, ""जहाँसम्म म र मेरो परिवारको कुरा छ, हामी परमेश्वरको अनुसरण गर्नेछौँ।"")
(यहोशू नामको अर्थ परमप्रभुले मुक्ति दिनुहुन्छ। येशू नाम यहोशू नामको एक रूप हो।)",,,GC 07-Feb-19,
n,यहुदा,,,"यहूदा याकूबका बाह्र छोराहरू मध्ये एक थिए। उनकी आमा लेह थिइन्। उनी यहूदाका इस्राएली कुलका पूर्वज बने।
राजा सोलोमनको मृत्युपछि, उत्तरी जातिहरूलाई अझै पनि इस्राएल भनिन्थ्यो, जबकि दुई दक्षिणी जातिहरूलाई हिब्रूमा जुडाह र ल्याटिनमा यहुदिया भनिन्थ्यो। (यहूदा नामको अर्थ प्रशंसा हो।)",यहुदीया,,"GC 08-Mar-2019

RR: should a note be made here about Judah also being a country split off from Israel?",
n,यहुदिया,,,यहूदिया प्रान्त वा क्षेत्रको नाम हो जहाँ यहूदाका जनजातिहरू बस्थे।,यहुदा,Judea is name of province/area where tribe of Judah lived. (Hilkka),,
t,न्यायकर्ता,न्यायकर्ता,"leader of the Jews in Kanaan land (G); 
man (who) descides (solution for) disputes/talk (U);","पुरातन समयमा, इस्राएलमा राजा हुनुभन्दा पहिले, न्यायाधीशहरूले जातिहरूमाथि शासन गर्थे। यी न्यायाधीशहरू वा नेताहरूलाई विवाद र तर्कहरू सुल्झाउने अधिकार थियो, र युद्धमा सिपाहीहरूको नेतृत्व गर्ने अधिकार पनि थियो।
न्याय गर्नु भनेको निर्णय गर्नु हो।
आधुनिक समयमा न्यायाधीश सामान्यतया अदालतमा अन्तिम निर्णय गर्ने वा घोषणा गर्ने व्यक्ति हो।




","राजा, अगमवक्ता",other language: man (who) decides (solution for) disputes/talk (urt),GC 07-Feb-19,
t,न्यान,"न्यान,न्यायीक, स्वच्छ, न्यायी","one is held to be good in (God's) presence (G);
Set someone right (W); call them straight ones (R); call them straight in his eyes (R);
tell correctly people's works (G);
","न्याय भनेको कानुन वा मापदण्डको पालना गर्नु हो। न्यायपूर्ण व्यक्तिले कानुनको पालना गर्छ। न्यायपूर्ण न्यायाधीशले कानुनले के भन्छ भनेर मुद्दाहरूको निर्णय गर्छन्। परमेश्वर तब मात्र हुन्छन् जब उनले अरूलाई आफ्नै कानुनले के भन्छ भनेर पुरस्कृत वा सजाय दिन्छन्। परमेश्वरले अब्राहामले जस्तै आफ्ना प्रतिज्ञाहरूलाई विश्वास गर्नेहरूलाई धर्मी वा धर्मीको रूपमा स्वीकार गर्नुहुन्छ। यद्यपि हाम्रा असल कामहरूले हामीसँग विश्वास छ भनेर देखाउँछ, यो हाम्रो विश्वास हो जसले हामीलाई न्यायसंगत वा बचाउँछ। (परमेश्वरले आफ्नो मुक्ति कमाउन खोज्नेहरूलाई उचित ठान्नुहुन्न।)","धार्मीकता, असल, खराब",,,
n,कतुराह,,,"अब्राहामकी पत्नी साराको मृत्युपछि, उनले कतुराह नामकी स्त्रीसँग विवाह गरे, जसले धेरै सन्तान जन्माएकी थिइन्। (कतुरा नामको अर्थ धूप वा मीठो गन्ध हुन सक्छ।)",,,GC 19-Feb-2019,
t,दया,दयालु,"doing good to people (G); 
",दयालु भनेको अन्य मानिसहरूका लागि कोमल तरिकाले राम्रो गर्नु हो।, कृप्पा,"take out: showing pity to people (because it is mercy, not kindness) (hilkka)",GC 15-Feb-2019,
t,राजा,"राजाहरु, राजा","ruler/authority person;
Chief (G); king (R);
","एक राजा आफ्नो मृत्यु नभएसम्म राज्य वा राष्ट्रको सर्वोच्च शासक रहन्छ। केही राष्ट्रहरूले आफ्ना राजालाई देवताको रूपमा पूजा गर्थे। (केही राष्ट्र, राज्य वा साम्राज्य विभिन्न शीर्षक वा नाम द्वारा आफ्नो राजा भनिन्छ, उदारहण., रोम यसको राजा कैसर भनिन्छ; मिश्र यसको राजा फारो भनिन्छ; पलिश्ती आफ्नो राजा अबीमेलेक भनिन्छ)"," कैसर, फारो,  अबिमेलेख",,,
t,राज्य,"राज्य,साम्राज्य, साम्राज्यहरु",,"राज्य भनेको जहाँ राजाले भूमि र जनतामाथि शासन गर्ने ठाउँ हो। साम्राज्य भनेको त्यहाँ हो जहाँ राजाले धेरै भूमि र मानिसहरूमा शासन गर्दछ। कहिलेकाहीँ ""सिंहासन"" शब्दले राज्यको प्रतीक हो।","राष्ट, देश",,GC 08-Feb-19,
t,परमेश्वरको राज्य,"स्वर्गको राज्य, परमेश्वरको राज्य","realm of God;
How God rules [reigns] over everything;
God's ruling of people (G); government of God (R); ","जहाँ मानिसहरूले परमेश्वरलाई आफ्नो राजाको रूपमा पालन गर्छन् त्यहाँ परमेश्वरको राज्य अवस्थित हुन्छः येशू, किनकि उहाँ राजा हुनुहुन्छ, परमेश्वरको राज्यलाई पृथ्वीमा ल्याउनुभयो जब उहाँ संसारमा आउनुभयो। परमेश्वरको राज्यमा स्वर्ग र पृथ्वी दुवैमा येशूलाई आफ्नो राजाको रूपमा शासन गर्न स्वागत गर्ने सबैलाई समावेश गर्दछ।
कहिलेकाहीँ ""सिंहासन"" (राजाको कुर्सी) शब्द राज्यको प्रतीकको रूपमा प्रयोग गरिन्छ।




",,,"RR: #3 definition seems to contradict #1.  If Jesus (and God) are truly all-powerful and have all authority, then it seems to me that Jesus has been and is currently the king over earth and heaven.  He is the High King.  Currently there are many ""under kings"" reigning on earth, but they are under Jesus' sovereignty.  Perhaps #3 should say something more like One day Jesus will do away with all other earthly kings and he himself will reign soley, visibly as King of earth when earth and heaven are once again rejoined/renewed.
GC: God's eternal sovereign rule over his creation and its creatures, to my knowledge, is not called 'Kingdom of God' in Scripture, only in abstract theology. Theology can inform translators, but should not introduce extraneious infomation into translation of specific verses.
RR: I feel more comfortable in having information that is general here, rather than trying to define past, present, future and eternal kingdoms (which is more a theological extraction than clearly deliniated in Scripture).
GC 08-Feb-19","The Kingdom of God exists wherever humans obey God as their king. Because Jesus is the divine King, he brought God's Kingdom to earth when he came into the world."
t,ज्ञान,"जान्नु, जानिएको",the real knowing of things (G);,"ज्ञान वा 'जान्न' को अर्थ हुन सक्छ (१) मानिसहरूले सम्झन र कुरा गर्न सक्ने सबै कुरा; (२) विचार वा विचारहरू जुन मानिसहरूले साँचो हो भनेर विश्वास गर्छन्; (३) कसैसँग भएको वा परमेश्वरसँग सम्बन्धित भएको आनन्द लिनु; वा (४) सँगै बच्चाहरू गर्भधारण गर्न।
ज्ञान भनेको राम्रो कार्यहरू गर्न ज्ञानलाई कसरी प्रयोग गर्ने भन्ने कौशल हो।",बुध्दिमानी,,GC 08-Mar-2019,
n,कोरह,,,"कोरहले मोशा र हारूनको विरुद्धमा विद्रोहको नेतृत्व गरे। त्यसैले, परमेश्वरले जमिन खोलिदिनुभयो, र कोरह र तिनलाई पछ्याउनेहरू सबै दरारमा खस्यो र मरे।",,,,
n,लावान,,," लाबान याकूबका मामा, रिबेकाका भाइ थिए, जो हारानमा बस्थे। लाबान लेआ र राहेलका पिता थिए जो याकूबका पत्नी बने।",,,,
n,गालिलको ताल,,,"गालिल ताल उत्तरी इस्राएलमा गहिरो ताजा पानीको ठूलो निकाय हो, जहाँबाट यर्दन नदी दक्षिणतर्फ बग्छ।",,,GC 08-Mar-2019,
t,परमेश्वरको थुमा,परमेश्वरको थुमा,"adolescent man sheep of God (K); young/small sheep of God (R, W)"," बप्तिस्मा दिने यूहन्नाले येशूलाई परमेश्वरको भेँडाको नाम दिए, किनकि उहाँ जान्नुहुन्थ्यो कि येशू बलिदानको रूपमा मर्नुहुनेछ, ताकि परमेश्वरले हामीलाई हाम्रा पापहरूको क्षमा दिनुहुनेछ। (प्रकाशको पुस्तकले येशूलाई भेँडालाई बोलाउँछ जुन मारिएको वा मारिएको थियो तर फेरि जीवनमा आएको छ।",,,"As essential element of the Good News is that Jesus was crucified because of our sins. Romans explains that Jesus' death exonorates God who forgives guilty sinners. However, the idea of substitution seems a modern, evangelical metaphone that displaces attention away from the holiness of God onto a kind of punishment theme, perhaps a useful idea though hard to prove scripturally.",
t,सामदान,"बत्ती,लाल्टीन ",,"एउटा सामदान एउटा बत्ती हो र धातुबाट बनेको बत्ती हो, जसले आगोको एक वा बढी ज्वाला थाम्दछन्, र तिनीहरूको इन्धन राख्दछन्।",,GC: ,Distinguished from clay lamps and from fire pots.,
t,जमिन,"पृथ्वी,देश",पृथ्वी/जमिन (G);,"भूमिको अर्थ हुन सक्छ (१) हामी हिँड्ने जमिन, (२) हामी रोप्ने माटो, (३) हामी बस्ने देश, वा (४) पृथ्वी (हाम्रो बिरुवाको भाग) जुन समुद्री पानीले ढाकिएको छैन।",,,,
t,व्यवस्था,कानुन,the words of Moses of long ago (G); instructions from God through Moses; Way of Moses (W);,"परमेश्वरले इस्राएलका निम्ति मोशालाई प्रकट गरेका नियम र निर्देशनहरू व्यवस्थामा समावेश छन्। व्यवस्था (१) ले परमेश्वरलाई प्रसन्न पार्ने कार्यहरू बताउँछ, र (२) हामीलाई मानिसहरूलाई देखाउँछ कि हामी कति पापी छौं। व्यवस्था राम्रो रहन्छ, तर परमेश्वरमा भएको विश्वासले मात्र हामीलाई नरकबाट बचाउन सक्छ। (इसाईहरू येशूका आज्ञाहरू पालन गरेर बाँच्दछन् (जसमध्ये मुख्य एक उहाँमाथि विश्वास गर्नु हो) व्यवस्था पालन गरेर होइन।)",,,,
t,अगुवा,अगुवाहरु,ones who guide you (G); head man (U),"नेता भनेको त्यस्तो व्यक्ति हो जसले अरूले जानुपर्ने बाटोलाई औंल्याउँछ। धेरै शक्तिशाली नेताहरूलाई राजा वा सम्राट भनिन्थ्यो। कम शक्तिशालीहरूलाई प्रमुख, राज्यपाल वा वृद्ध भनिन्थ्यो। सबैभन्दा कम शक्तिशाली परिवार प्रमुख र कार्य प्रमुखहरू थिए।","राजा, गभर्नर, एल्डर",other language: head man (urt),,
t,कुष्टरोगी,"कुष्टरोगी, कुष्टरोगीहरु",lepra (R),"कुष्ठरोग एउटा गम्भीर छालाको रोग हो। कुष्ठरोग भएका मानिसहरूलाई कुष्ठरोगी भनिन्छ। बाइबलको समयमा यस रोगबाट पीडितहरूले अन्य मानिसहरूबाट अलग रहन आवश्यक थियो। (यद्यपि स्वस्थ मानिसहरूले कुष्ठरोगीलाई कहिल्यै छुने थिएनन्, जिउसले कुष्ठरोगीहरूलाई निको पारेपछि छोए।)",,,,
n,लेवि,"लेविहरु, लेवि",from the clan of Lewi (R); from the clan of Liwai (K),"लेवी याकूबका बाह्र छोराहरू मध्ये एक थिए, लेवी भनिने इस्राएली कुलका पुर्खाहरू। इस्राएलमा, केवल लेवीहरूलाई यरूशलेमको मन्दिरमा पुजारी र कामदारहरूको रूपमा सेवा गर्न अनुमति दिइएको थियो। हारून एक लेवी थिए। सुसमाचार लेख्ने मत्तीलाई लेवी पनि भनिन्थ्यो। (इसाईहरूको प्रधान पुजारी येशू हुन् जो यहूदाका कुलबाट आएका थिए।",,,,
t,सिंह,सिंहहरु,laion (K); large cat / jaguar (G); simba (W);,"सिंहहरू धेरै ठुला, बलियो, साहसी बिरालाहरू हुन् जसले अन्य ठुला जनावरहरूलाई मार्छन् र खान्छन्। (तिनीहरूसँग धारदार दाँत र लामो पन्जा छन् जुन फिर्ता लिन्छन्।) (सिंहहरू खतरनाक हुन्छन् र मानिसहरूलाई मार्न सक्छन्।) (राजाहरूलाई प्रायः सिंहहरूसँग तुलना गरिन्थ्यो।) (येशूलाई यहूदाका कुलको सिंह भनिन्छ।",,jaguar and simba not helpful in PNG,,
t,पशुधन,,,"गाईवस्तुहरू घरपालुवा (गैर जङ्गली) जनावरहरू जस्तै बाख्रा, गाई, उँट, गधाहरू, भेडा आदि) जसलाई मानिसहरूले सँगै राख्छन् र आफ्नो भरणपोषण गर्न आफ्नो घर नजिकै हेरचाह गर्छन्।","पशुहरु, गोठोलो",,,
t,सलहहरु,सलह,,सलह उड्ने कीराहरू हुन् (घाँस जस्तै केही) जुन झुण्डमा आउन सक्छ र बाली र अन्य बोटबिरुवाहरू नष्ट गर्न सक्छ। केही मानिस खानाका लागि सलह खान्छन्।,,,,GC 7/7/2019
